rank,score,relationship,stem_a,split_a,stem_b,split_b,raw,aligned,n_boxes,low_information,file_a,file_b
16,0.00000,valid<->train,IMG_20240228_131410,valid,IMG_20240228_131416,train,0.06822,0.00000,1,yes,IMG_20240228_131410_jpg.rf.7de2c93a9da2744775a66a94de0638fc.jpg,IMG_20240228_131416_jpg.rf.339af5367a685a45943df1f9cb06a38f.jpg
17,0.00000,valid<->train,IMG_20240303_105731,train,IMG_20240303_105739,valid,0.02519,0.00000,1,yes,IMG_20240303_105731_jpg.rf.4ce1a920962873ebf2fc74c6bd59c37a.jpg,IMG_20240303_105739_jpg.rf.6d0ad9b04abda5b55b3497b0b4753376.jpg
18,0.00000,valid<->train,IMG_20240303_105731,train,IMG_20240303_105748,valid,0.08200,0.00000,1,yes,IMG_20240303_105731_jpg.rf.4ce1a920962873ebf2fc74c6bd59c37a.jpg,IMG_20240303_105748_jpg.rf.34bac5379eb0d99c0ed6bd3534a2ef3b.jpg
19,0.00000,valid<->train,IMG_20240303_105739,valid,IMG_20240303_105752,train,0.04477,0.00000,1,yes,IMG_20240303_105739_jpg.rf.6d0ad9b04abda5b55b3497b0b4753376.jpg,IMG_20240303_105752_jpg.rf.e048be36aa93df09f2778c733996c90c.jpg
20,0.00000,valid<->train,IMG_20240303_105739,valid,IMG_20240303_105758,train,0.12596,0.00000,1,yes,IMG_20240303_105739_jpg.rf.6d0ad9b04abda5b55b3497b0b4753376.jpg,IMG_20240303_105758_jpg.rf.a0f59ffbff834aa0564bc71c3daf0369.jpg
21,0.00000,valid<->train,IMG_20240303_105748,valid,IMG_20240303_105752,train,0.09938,0.00000,1,yes,IMG_20240303_105748_jpg.rf.34bac5379eb0d99c0ed6bd3534a2ef3b.jpg,IMG_20240303_105752_jpg.rf.e048be36aa93df09f2778c733996c90c.jpg
22,0.00000,valid<->train,IMG_20240303_105748,valid,IMG_20240303_105758,train,0.08714,0.00000,1,yes,IMG_20240303_105748_jpg.rf.34bac5379eb0d99c0ed6bd3534a2ef3b.jpg,IMG_20240303_105758_jpg.rf.a0f59ffbff834aa0564bc71c3daf0369.jpg
23,0.00000,test<->train,IMG_20240303_105811,train,IMG_20240303_105837,test,0.02096,0.00000,1,yes,IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg
24,0.00000,valid<->train,IMG_20240303_105811,train,IMG_20240303_105843,valid,0.07882,0.00000,1,yes,IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg
25,0.00000,valid<->train,IMG_20240303_105811,train,IMG_20240303_105846,valid,0.04033,0.00000,1,yes,IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg
26,0.00000,valid<->train,IMG_20240303_105811,train,IMG_20240303_105902,valid,0.17822,0.00000,1,yes,IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg
27,0.00000,test<->train,IMG_20240303_105815,train,IMG_20240303_105837,test,0.04756,0.00000,1,yes,IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg
28,0.00000,valid<->train,IMG_20240303_105815,train,IMG_20240303_105843,valid,0.02413,0.00000,1,yes,IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg
29,0.00000,valid<->train,IMG_20240303_105815,train,IMG_20240303_105846,valid,0.03230,0.00000,1,yes,IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg
30,0.00000,valid<->train,IMG_20240303_105815,train,IMG_20240303_105902,valid,0.19985,0.00000,1,yes,IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg
31,0.00000,test<->train,IMG_20240303_105825,train,IMG_20240303_105837,test,0.06686,0.00000,1,yes,IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg
32,0.00000,valid<->train,IMG_20240303_105825,train,IMG_20240303_105843,valid,0.12335,0.00000,1,yes,IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg
33,0.00000,valid<->train,IMG_20240303_105825,train,IMG_20240303_105846,valid,0.08595,0.00000,1,yes,IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg
34,0.00000,valid<->train,IMG_20240303_105825,train,IMG_20240303_105902,valid,0.20133,0.00000,1,yes,IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg
35,0.00000,test<->train,IMG_20240303_105829,train,IMG_20240303_105837,test,0.03249,0.00000,1,yes,IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg
36,0.00000,valid<->train,IMG_20240303_105829,train,IMG_20240303_105843,valid,0.08212,0.00000,1,yes,IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg
37,0.00000,valid<->train,IMG_20240303_105829,train,IMG_20240303_105846,valid,0.04806,0.00000,1,yes,IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg
38,0.00000,valid<->train,IMG_20240303_105829,train,IMG_20240303_105902,valid,0.19810,0.00000,1,yes,IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg
39,0.00000,valid<->test,IMG_20240303_105837,test,IMG_20240303_105843,valid,0.05857,0.00000,1,yes,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg
40,0.00000,valid<->test,IMG_20240303_105837,test,IMG_20240303_105846,valid,0.01953,0.00000,1,yes,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg
41,0.00000,test<->train,IMG_20240303_105837,test,IMG_20240303_105854,train,0.04963,0.00000,1,yes,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg
42,0.00000,valid<->test,IMG_20240303_105837,test,IMG_20240303_105902,valid,0.17262,0.00000,1,yes,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg
43,0.00000,test<->train,IMG_20240303_105837,test,IMG_20240303_105908,train,0.04381,0.00000,1,yes,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg
44,0.00000,valid<->train,IMG_20240303_105843,valid,IMG_20240303_105854,train,0.08822,0.00000,1,yes,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg
45,0.00000,valid<->train,IMG_20240303_105843,valid,IMG_20240303_105908,train,0.08026,0.00000,1,yes,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg
46,0.00000,valid<->train,IMG_20240303_105846,valid,IMG_20240303_105854,train,0.05697,0.00000,1,yes,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg
47,0.00000,valid<->train,IMG_20240303_105846,valid,IMG_20240303_105908,train,0.05355,0.00000,1,yes,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg
48,0.00000,valid<->train,IMG_20240303_105854,train,IMG_20240303_105902,valid,0.12497,0.00000,1,yes,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg
49,0.00000,valid<->train,IMG_20240303_105902,valid,IMG_20240303_105908,train,0.21481,0.00000,1,yes,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg
50,0.00000,valid<->train,IMG_20240303_105917,valid,IMG_20240303_105920,train,0.07826,0.00000,1,yes,IMG_20240303_105917_jpg.rf.c26f7dd899d391dd55308dbd8b545079.jpg,IMG_20240303_105920_jpg.rf.b22b2c1acab74be76780c5a791ecc20d.jpg
51,0.00000,valid<->train,IMG_20240303_105917,valid,IMG_20240303_105932,train,0.26872,0.00000,1,yes,IMG_20240303_105917_jpg.rf.c26f7dd899d391dd55308dbd8b545079.jpg,IMG_20240303_105932_jpg.rf.77e21aa26fa6cd74964a6c916d760ab4.jpg
52,0.00000,valid<->train,IMG_20240303_105920,train,IMG_20240303_105938,valid,0.09005,0.00000,1,yes,IMG_20240303_105920_jpg.rf.b22b2c1acab74be76780c5a791ecc20d.jpg,IMG_20240303_105938_jpg.rf.63f36563a8c9a7b6c364df55a07cdbd1.jpg
53,0.00000,valid<->train,IMG_20240303_105932,train,IMG_20240303_105938,valid,0.28767,0.00000,1,yes,IMG_20240303_105932_jpg.rf.77e21aa26fa6cd74964a6c916d760ab4.jpg,IMG_20240303_105938_jpg.rf.63f36563a8c9a7b6c364df55a07cdbd1.jpg
54,0.00000,test<->train,IMG_20240303_110013,train,IMG_20240303_110604,test,0.04237,0.00000,1,yes,IMG_20240303_110013_jpg.rf.1dc5546b3e0e9e4ef09f08326fa29a18.jpg,IMG_20240303_110604_jpg.rf.1033f92201cc3324da1c2f00b0e3974d.jpg
55,0.00000,test<->train,IMG_20240309_113647,train,IMG_20240309_113711,test,0.09957,0.00000,1,yes,IMG_20240309_113647_jpg.rf.55accb3638336a5ea81750415374189d.jpg,IMG_20240309_113711_jpg.rf.e1c8bf2d2753ea62b6e616601ad11c36.jpg
56,0.00000,test<->train,IMG_20240309_113655,train,IMG_20240309_113711,test,0.06414,0.00000,1,yes,IMG_20240309_113655_jpg.rf.7636c34b3078b0001bbd76206e286496.jpg,IMG_20240309_113711_jpg.rf.e1c8bf2d2753ea62b6e616601ad11c36.jpg
57,0.00000,test<->train,IMG_20240309_113702,train,IMG_20240309_113711,test,0.14218,0.00000,1,yes,IMG_20240309_113702_jpg.rf.674c367943d0468cf0c665b2b1c1811d.jpg,IMG_20240309_113711_jpg.rf.e1c8bf2d2753ea62b6e616601ad11c36.jpg
58,0.00000,test<->train,IMG_20240309_113723,test,IMG_20240309_113727,train,0.02975,0.00000,1,yes,IMG_20240309_113723_jpg.rf.5d516f6f4607c551267e6c6a9010308b.jpg,IMG_20240309_113727_jpg.rf.8e8417b8fd0d21f19321163c32bfdf5a.jpg
59,0.00000,test<->train,IMG_20240309_113723,test,IMG_20240309_113733,train,0.12375,0.00000,1,yes,IMG_20240309_113723_jpg.rf.5d516f6f4607c551267e6c6a9010308b.jpg,IMG_20240309_113733_jpg.rf.b3074f32adcd953deb2efda88a9bdbd2.jpg
60,0.00000,test<->train,IMG_20240309_113936,train,IMG_20240309_114006,test,0.09610,0.00000,1,yes,IMG_20240309_113936_jpg.rf.8556a8ed07ba2dd6f59575955bf96631.jpg,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg
61,0.00000,test<->train,IMG_20240309_113942,train,IMG_20240309_114006,test,0.06028,0.00000,1,yes,IMG_20240309_113942_jpg.rf.888103a7f32bc9c865895ab7f3288ce2.jpg,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg
62,0.00000,test<->train,IMG_20240309_113949,train,IMG_20240309_114006,test,0.14062,0.00000,1,yes,IMG_20240309_113949_jpg.rf.e91acd0635b2af130be6e42d96316386.jpg,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg
63,0.00000,test<->train,IMG_20240309_113956,train,IMG_20240309_114006,test,0.10938,0.00000,1,yes,IMG_20240309_113956_jpg.rf.1eb21e492fee493d09a9b9c45d82a8b0.jpg,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg
64,0.00000,valid<->train,IMG_20240309_114034,valid,IMG_20240309_114042,train,0.10323,0.00000,1,yes,IMG_20240309_114034_jpg.rf.38246456c5fca33289fcad410e2ae17f.jpg,IMG_20240309_114042_jpg.rf.8b8890fd9c2ce62c7de1f97bb5dedc6f.jpg
65,0.00000,valid<->train,IMG_20240309_114034,valid,IMG_20240309_114100,train,0.16301,0.00000,1,yes,IMG_20240309_114034_jpg.rf.38246456c5fca33289fcad410e2ae17f.jpg,IMG_20240309_114100_jpg.rf.ebfa33cec0c784f7bc348bc69a7f70d2.jpg
66,0.00000,valid<->train,IMG_20240309_114034,valid,IMG_20240309_114116,train,0.13245,0.00000,1,yes,IMG_20240309_114034_jpg.rf.38246456c5fca33289fcad410e2ae17f.jpg,IMG_20240309_114116_jpg.rf.0db03319b0f51bf9e208dbe3a6d140a0.jpg
67,0.00000,valid<->train,IMG_20240309_114042,train,IMG_20240309_114056,valid,0.04474,0.00000,1,yes,IMG_20240309_114042_jpg.rf.8b8890fd9c2ce62c7de1f97bb5dedc6f.jpg,IMG_20240309_114056_jpg.rf.35cd21a2663fc9cf69845943cac165fe.jpg
68,0.00000,valid<->train,IMG_20240309_114056,valid,IMG_20240309_114100,train,0.16541,0.00000,1,yes,IMG_20240309_114056_jpg.rf.35cd21a2663fc9cf69845943cac165fe.jpg,IMG_20240309_114100_jpg.rf.ebfa33cec0c784f7bc348bc69a7f70d2.jpg
69,0.00000,valid<->train,IMG_20240309_114056,valid,IMG_20240309_114116,train,0.07515,0.00000,1,yes,IMG_20240309_114056_jpg.rf.35cd21a2663fc9cf69845943cac165fe.jpg,IMG_20240309_114116_jpg.rf.0db03319b0f51bf9e208dbe3a6d140a0.jpg
70,0.00000,valid<->test,IMG_20240309_114132,valid,IMG_20240309_114140,test,0.07888,0.00000,1,yes,IMG_20240309_114132_jpg.rf.000db46a040e59937f88753546b7da6a.jpg,IMG_20240309_114140_jpg.rf.0e579a6297b46d4def2caf3e4235d9c4.jpg
71,0.00000,valid<->train,IMG_20240309_114132,valid,IMG_20240309_114142,train,0.13238,0.00000,1,yes,IMG_20240309_114132_jpg.rf.000db46a040e59937f88753546b7da6a.jpg,IMG_20240309_114142_jpg.rf.a3d771f18b7b8715c0755748ed74dcaf.jpg
72,0.00000,test<->train,IMG_20240309_114140,test,IMG_20240309_114142,train,0.15935,0.00000,1,yes,IMG_20240309_114140_jpg.rf.0e579a6297b46d4def2caf3e4235d9c4.jpg,IMG_20240309_114142_jpg.rf.a3d771f18b7b8715c0755748ed74dcaf.jpg
73,0.00000,valid<->train,IMG_20240309_114215,train,IMG_20240309_114221,valid,0.11737,0.00000,1,yes,IMG_20240309_114215_jpg.rf.59c12185acca7a6ef33e4e07567fbae7.jpg,IMG_20240309_114221_jpg.rf.56b664076637540c792c26b82b37b866.jpg
74,0.00000,valid<->train,IMG_20240309_114215,train,IMG_20240309_114248,valid,0.11072,0.00000,1,yes,IMG_20240309_114215_jpg.rf.59c12185acca7a6ef33e4e07567fbae7.jpg,IMG_20240309_114248_jpg.rf.c53ff41f62ec2d5cc8c445f4f7d029d8.jpg
75,0.00000,valid<->train,IMG_20240309_114221,valid,IMG_20240309_114244,train,0.06870,0.00000,1,yes,IMG_20240309_114221_jpg.rf.56b664076637540c792c26b82b37b866.jpg,IMG_20240309_114244_jpg.rf.282dc8ad08adf4f73a700f62e6df8937.jpg
76,0.00000,valid<->train,IMG_20240309_114244,train,IMG_20240309_114248,valid,0.14858,0.00000,1,yes,IMG_20240309_114244_jpg.rf.282dc8ad08adf4f73a700f62e6df8937.jpg,IMG_20240309_114248_jpg.rf.c53ff41f62ec2d5cc8c445f4f7d029d8.jpg
77,0.02666,test<->train,IMG_20240303_111150,train,IMG_20240303_111154,test,0.14003,0.02666,2,yes,IMG_20240303_111150_jpg.rf.ea4cb2a043a679c382b2887f8d270de1.jpg,IMG_20240303_111154_jpg.rf.00fbdef8d408d5d58301eb952b29db23.jpg
78,0.07308,valid<->train,IMG_20240228_125903,valid,IMG_20240228_125906,train,0.11011,0.07308,2,yes,IMG_20240228_125903_jpg.rf.f20bf8d00dd1dab39716aeac857d6501.jpg,IMG_20240228_125906_jpg.rf.b31f2dfc7cbc116b2e3a6b76d6abb48a.jpg
79,0.09352,valid<->test,IMG_20240228_124721,test,IMG_20240228_141414,valid,0.22551,0.09352,2,yes,IMG_20240228_124721_jpg.rf.e6866b635f043c95380d45c783aa281c.jpg,IMG_20240228_141414_jpg.rf.11f74cde8d660e422948f7a65e3aeb39.jpg
80,0.12368,test<->train,IMG_20240303_110048,test,IMG_20240303_110054,train,0.15898,0.12368,2,yes,IMG_20240303_110048_jpg.rf.6d192739579efd098d34cc765d7e500c.jpg,IMG_20240303_110054_jpg.rf.a7d70e28ebb65db089efb39ac1d3703a.jpg
81,0.16526,valid<->train,IMG_20240303_105951,valid,IMG_20240303_105955,train,0.17764,0.16526,2,yes,IMG_20240303_105951_jpg.rf.856941b834e18babccb30ec9a5bc37f7.jpg,IMG_20240303_105955_jpg.rf.969c55d423913e7a40f76015b2c9e585.jpg
82,0.16534,valid<->train,IMG_20240303_105951,valid,IMG_20240303_110020,train,0.20632,0.16534,2,yes,IMG_20240303_105951_jpg.rf.856941b834e18babccb30ec9a5bc37f7.jpg,IMG_20240303_110020_jpg.rf.9c5d6b0931d6b1a33079dd6202dea3d4.jpg
83,0.16823,valid<->train,IMG_20240303_105951,valid,IMG_20240303_110025,train,0.23517,0.16823,2,yes,IMG_20240303_105951_jpg.rf.856941b834e18babccb30ec9a5bc37f7.jpg,IMG_20240303_110025_jpg.rf.ed1a76bf1184ba201071e9922eccb8ea.jpg
84,0.19503,valid<->train,IMG_20240303_105959,train,IMG_20240303_110035,valid,0.31290,0.19503,2,yes,IMG_20240303_105959_jpg.rf.2ce297bb76307510be1317f2eda32331.jpg,IMG_20240303_110035_jpg.rf.34fb5ceea37212389c93997cb6207a6f.jpg
85,0.20438,test<->train,IMG_20240303_110106,train,IMG_20240303_110113,test,0.22241,0.20438,2,yes,IMG_20240303_110106_jpg.rf.cd1c5a50be47d0efcf4be20f355e96cb.jpg,IMG_20240303_110113_jpg.rf.fb62f492b083015fdbe1616b656736a3.jpg
86,0.22092,valid<->train,IMG_20240303_110004,valid,IMG_20240303_110025,train,0.30137,0.22092,2,yes,IMG_20240303_110004_jpg.rf.3858f3ec4a2f487845b1ccf815efdf71.jpg,IMG_20240303_110025_jpg.rf.ed1a76bf1184ba201071e9922eccb8ea.jpg
87,0.22394,valid<->test,IMG_20240303_110113,test,IMG_20240303_110120,valid,0.25796,0.22394,2,yes,IMG_20240303_110113_jpg.rf.fb62f492b083015fdbe1616b656736a3.jpg,IMG_20240303_110120_jpg.rf.d79523f83b7a74620430561984bc54b7.jpg
88,0.27917,valid<->train,IMG_20240303_110004,valid,IMG_20240303_110020,train,0.35620,0.27917,2,yes,IMG_20240303_110004_jpg.rf.3858f3ec4a2f487845b1ccf815efdf71.jpg,IMG_20240303_110020_jpg.rf.9c5d6b0931d6b1a33079dd6202dea3d4.jpg
89,0.29751,valid<->train,IMG_20240303_105951,valid,IMG_20240303_105959,train,0.36834,0.29751,2,yes,IMG_20240303_105951_jpg.rf.856941b834e18babccb30ec9a5bc37f7.jpg,IMG_20240303_105959_jpg.rf.2ce297bb76307510be1317f2eda32331.jpg
90,0.33950,valid<->train,IMG_20240303_105959,train,IMG_20240303_110004,valid,0.47315,0.33950,2,yes,IMG_20240303_105959_jpg.rf.2ce297bb76307510be1317f2eda32331.jpg,IMG_20240303_110004_jpg.rf.3858f3ec4a2f487845b1ccf815efdf71.jpg
91,0.35052,valid<->train,IMG_20240303_105955,train,IMG_20240303_110035,valid,0.41764,0.35052,2,yes,IMG_20240303_105955_jpg.rf.969c55d423913e7a40f76015b2c9e585.jpg,IMG_20240303_110035_jpg.rf.34fb5ceea37212389c93997cb6207a6f.jpg
92,0.35764,valid<->train,IMG_20240303_110106,train,IMG_20240303_110120,valid,0.36376,0.35764,2,yes,IMG_20240303_110106_jpg.rf.cd1c5a50be47d0efcf4be20f355e96cb.jpg,IMG_20240303_110120_jpg.rf.d79523f83b7a74620430561984bc54b7.jpg
93,0.38479,valid<->train,IMG_20240303_105955,train,IMG_20240303_110004,valid,0.40871,0.38479,2,yes,IMG_20240303_105955_jpg.rf.969c55d423913e7a40f76015b2c9e585.jpg,IMG_20240303_110004_jpg.rf.3858f3ec4a2f487845b1ccf815efdf71.jpg
94,0.39296,valid<->train,IMG_20240303_110025,train,IMG_20240303_110035,valid,0.44421,0.39296,2,yes,IMG_20240303_110025_jpg.rf.ed1a76bf1184ba201071e9922eccb8ea.jpg,IMG_20240303_110035_jpg.rf.34fb5ceea37212389c93997cb6207a6f.jpg
95,0.44427,valid<->train,IMG_20240303_110020,train,IMG_20240303_110035,valid,0.49474,0.44427,2,yes,IMG_20240303_110020_jpg.rf.9c5d6b0931d6b1a33079dd6202dea3d4.jpg,IMG_20240303_110035_jpg.rf.34fb5ceea37212389c93997cb6207a6f.jpg
