relpath,split_dir,stem,parse_route,family,date,time
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228124445_jpg.rf.c6486ef417d1e1500fc957bd3df310ed.jpg,test,IMG20240228124445,roboflow,ts_compact,20240228,124445
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228124453_jpg.rf.2a9310ee50d085af5f0a6cc719399530.jpg,test,IMG20240228124453,roboflow,ts_compact,20240228,124453
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228125647_jpg.rf.8815024701d86cee3b7cf47770db4287.jpg,test,IMG20240228125647,roboflow,ts_compact,20240228,125647
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228125705_jpg.rf.99d41b064917fb9fd3011b4938528906.jpg,test,IMG20240228125705,roboflow,ts_compact,20240228,125705
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228131317_jpg.rf.437b2288d1052fbb817ca20bdfe4e14a.jpg,test,IMG20240228131317,roboflow,ts_compact,20240228,131317
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228131634_jpg.rf.10baba083450a3ed73a61b03d4cb014f.jpg,test,IMG20240228131634,roboflow,ts_compact,20240228,131634
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228131658_jpg.rf.1ee0658dc4471a39544b0dbdbfbfbb3c.jpg,test,IMG20240228131658,roboflow,ts_compact,20240228,131658
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228131921_01_jpg.rf.499285664f7a2269be464b7f9c04c3f2.jpg,test,IMG20240228131921_01,roboflow,ts_compact_sub,20240228,131921
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228132456_jpg.rf.eb64c1ed2dbcd1e6aa3444ccbcac9c4c.jpg,test,IMG20240228132456,roboflow,ts_compact,20240228,132456
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228132533_jpg.rf.143880b7203bf01cbc7f4389bf0950a9.jpg,test,IMG20240228132533,roboflow,ts_compact,20240228,132533
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228132935_jpg.rf.4e48dbee62b520471322d8e85eb76303.jpg,test,IMG20240228132935,roboflow,ts_compact,20240228,132935
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228133659_01_jpg.rf.3906dd240d26469fb41bc84188d1cb5c.jpg,test,IMG20240228133659_01,roboflow,ts_compact_sub,20240228,133659
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228135553_jpg.rf.eba81894b805784244573adc6e27013c.jpg,test,IMG20240228135553,roboflow,ts_compact,20240228,135553
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228142403_jpg.rf.a435ebefe7741245109277088757e380.jpg,test,IMG20240228142403,roboflow,ts_compact,20240228,142403
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303110129_jpg.rf.f69afec48f2ac3cf680a5de6ff36b2fe.jpg,test,IMG20240303110129,roboflow,ts_compact,20240303,110129
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303110214_jpg.rf.42a2d0ef482d33cbb5ce934a98a73fac.jpg,test,IMG20240303110214,roboflow,ts_compact,20240303,110214
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303110406_jpg.rf.093c14ba8b00880183879855c7ac7c55.jpg,test,IMG20240303110406,roboflow,ts_compact,20240303,110406
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303110414_jpg.rf.691bbd7eca1f9a50e1ed06825e417172.jpg,test,IMG20240303110414,roboflow,ts_compact,20240303,110414
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303110422_jpg.rf.4557efe72f4ddd25a4ec1ac70b352e8c.jpg,test,IMG20240303110422,roboflow,ts_compact,20240303,110422
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303110734_jpg.rf.908199f7e1fc14639e5a01dc803b0a5d.jpg,test,IMG20240303110734,roboflow,ts_compact,20240303,110734
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303111224_jpg.rf.0cb9be849b5133341b95270349e224a2.jpg,test,IMG20240303111224,roboflow,ts_compact,20240303,111224
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240303111312_jpg.rf.4e9622644a995b74cf13a5632baaa0f0.jpg,test,IMG20240303111312,roboflow,ts_compact,20240303,111312
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306115356_jpg.rf.8b554c7e17663b5acb2d3ca35c1435d8.jpg,test,IMG20240306115356,roboflow,ts_compact,20240306,115356
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306115416_jpg.rf.227130def0038d5eff3592e8309e8762.jpg,test,IMG20240306115416,roboflow,ts_compact,20240306,115416
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306120839_jpg.rf.f01cef01b9afaf85fd1e7c6242112a6e.jpg,test,IMG20240306120839,roboflow,ts_compact,20240306,120839
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306121026_jpg.rf.95a158a09cf951fb282d828f12e83121.jpg,test,IMG20240306121026,roboflow,ts_compact,20240306,121026
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306143551_jpg.rf.7741f027f005c7bc1bf39d271abfcd68.jpg,test,IMG20240306143551,roboflow,ts_compact,20240306,143551
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306143620_jpg.rf.f146c19a5615d687720c0e4f8cf2a835.jpg,test,IMG20240306143620,roboflow,ts_compact,20240306,143620
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306143713_jpg.rf.307965d5bf18e193a696c151caee496f.jpg,test,IMG20240306143713,roboflow,ts_compact,20240306,143713
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306143950_jpg.rf.c6f94ec40dff9bbefa9d7b5f62305064.jpg,test,IMG20240306143950,roboflow,ts_compact,20240306,143950
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306144250_jpg.rf.3707cd5226a50fe9f9c3ba8b308d7420.jpg,test,IMG20240306144250,roboflow,ts_compact,20240306,144250
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240306144311_jpg.rf.8e5e511d633218a92292a3e717375bf8.jpg,test,IMG20240306144311,roboflow,ts_compact,20240306,144311
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309112459_jpg.rf.f2f5b12f9e6ee60fc4a21900c6c30950.jpg,test,IMG20240309112459,roboflow,ts_compact,20240309,112459
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309112551_jpg.rf.60492e479f3c0b12a33c08d5e55c01b7.jpg,test,IMG20240309112551,roboflow,ts_compact,20240309,112551
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309112703_jpg.rf.8c7a677abdba7e75dbf5dddb42d89986.jpg,test,IMG20240309112703,roboflow,ts_compact,20240309,112703
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309112748_jpg.rf.b61e5944228f904b9e67156be26ba15d.jpg,test,IMG20240309112748,roboflow,ts_compact,20240309,112748
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309113417_jpg.rf.97d14d5a33935de3ba341eac65df071a.jpg,test,IMG20240309113417,roboflow,ts_compact,20240309,113417
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309113622_jpg.rf.6732f6ff991f411c6f24bf80081ed7c9.jpg,test,IMG20240309113622,roboflow,ts_compact,20240309,113622
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309114604_jpg.rf.562e29307759de4a2210a4ae3ebd519b.jpg,test,IMG20240309114604,roboflow,ts_compact,20240309,114604
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309114740_jpg.rf.c14b7c25f2fed4800e2187978d33247d.jpg,test,IMG20240309114740,roboflow,ts_compact,20240309,114740
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309114846_jpg.rf.9cf50aeb9825d11f47ea42ad302cc2a0.jpg,test,IMG20240309114846,roboflow,ts_compact,20240309,114846
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309115014_jpg.rf.ff12164246fc231f2ec876ee1fd2c8b4.jpg,test,IMG20240309115014,roboflow,ts_compact,20240309,115014
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309115204_jpg.rf.1671fdd07f252ac94f4d03a6b0d1d8bf.jpg,test,IMG20240309115204,roboflow,ts_compact,20240309,115204
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240309115335_jpg.rf.6ad540faa5368da45bb973134108bc92.jpg,test,IMG20240309115335,roboflow,ts_compact,20240309,115335
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240417115121_jpg.rf.13be37c45ead033f9d0ad1eb6b5d49e6.jpg,test,IMG20240417115121,roboflow,ts_compact,20240417,115121
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240417115151_jpg.rf.e17a341aeb82ba75a36bcba2cc2c1a73.jpg,test,IMG20240417115151,roboflow,ts_compact,20240417,115151
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240219_113711_jpg.rf.73592dbfb956713954c415060015c988.jpg,test,IMG_20240219_113711,roboflow,ts_underscore,20240219,113711
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240219_113730_jpg.rf.43bcf0a8aa798b429ab2c0df3544050a.jpg,test,IMG_20240219_113730,roboflow,ts_underscore,20240219,113730
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240219_114018_jpg.rf.cc4cd7e4ff37ab830c5c2486c64928cb.jpg,test,IMG_20240219_114018,roboflow,ts_underscore,20240219,114018
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240219_114214_jpg.rf.9bab4688773675e4df3250dfa834ccee.jpg,test,IMG_20240219_114214,roboflow,ts_underscore,20240219,114214
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240219_115224_jpg.rf.5f67037e074d7be714f5f45783a15fcd.jpg,test,IMG_20240219_115224,roboflow,ts_underscore,20240219,115224
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240219_115342_jpg.rf.e0ac84daf7ebae808e72b4262a666558.jpg,test,IMG_20240219_115342,roboflow,ts_underscore,20240219,115342
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_114159_jpg.rf.0f552fb476fb128439104386f388a9e1.jpg,test,IMG_20240220_114159,roboflow,ts_underscore,20240220,114159
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_114930_jpg.rf.b443e1496d702c6d19987ab43b73930f.jpg,test,IMG_20240220_114930,roboflow,ts_underscore,20240220,114930
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_114936_jpg.rf.5b54d7d2ccb68d38b87483bdfca9172e.jpg,test,IMG_20240220_114936,roboflow,ts_underscore,20240220,114936
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_115051_jpg.rf.49e9d8d02f507512436a41a7966826d1.jpg,test,IMG_20240220_115051,roboflow,ts_underscore,20240220,115051
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_115127_jpg.rf.2ef9da86f74753542d0dc9991f49f8aa.jpg,test,IMG_20240220_115127,roboflow,ts_underscore,20240220,115127
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_115502_jpg.rf.caca3a276324e9f03b4c1615f4b80654.jpg,test,IMG_20240220_115502,roboflow,ts_underscore,20240220,115502
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_115539_jpg.rf.eda7266da9458a76b702c7f881428cc7.jpg,test,IMG_20240220_115539,roboflow,ts_underscore,20240220,115539
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_115849_jpg.rf.bbb5356805697fdfec52649f14a1a613.jpg,test,IMG_20240220_115849,roboflow,ts_underscore,20240220,115849
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_120146_jpg.rf.6e384cb143d3899adc87d26a3be971cf.jpg,test,IMG_20240220_120146,roboflow,ts_underscore,20240220,120146
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_120314_jpg.rf.8f38f201a072e90254dbe3bedc28e441.jpg,test,IMG_20240220_120314,roboflow,ts_underscore,20240220,120314
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_120420_jpg.rf.b13a9f50d46f1573627ffa5d272f5f4e.jpg,test,IMG_20240220_120420,roboflow,ts_underscore,20240220,120420
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_121153_jpg.rf.b72d5c89649bea09b7e40a57be3286d1.jpg,test,IMG_20240220_121153,roboflow,ts_underscore,20240220,121153
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_121405_jpg.rf.955301391da1ddddbb0261c30bccaedd.jpg,test,IMG_20240220_121405,roboflow,ts_underscore,20240220,121405
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_121536_jpg.rf.586596b30ec2e3ba5fb7dee0decda0e3.jpg,test,IMG_20240220_121536,roboflow,ts_underscore,20240220,121536
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_131552_jpg.rf.71080158437bc9ae0f7d54ae707c240c.jpg,test,IMG_20240220_131552,roboflow,ts_underscore,20240220,131552
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_131738_jpg.rf.fbe647d388305137d824ea8dc3bc97f9.jpg,test,IMG_20240220_131738,roboflow,ts_underscore,20240220,131738
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132056_jpg.rf.a837dfe589d463b576be27cd1b010515.jpg,test,IMG_20240220_132056,roboflow,ts_underscore,20240220,132056
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132104_jpg.rf.17babf06563ff7f0245b954ad07082bc.jpg,test,IMG_20240220_132104,roboflow,ts_underscore,20240220,132104
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132322_jpg.rf.5d90ec795020ac9177d733d3df7f06c9.jpg,test,IMG_20240220_132322,roboflow,ts_underscore,20240220,132322
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132601_jpg.rf.e135d5eb0963addffeef0116f2859568.jpg,test,IMG_20240220_132601,roboflow,ts_underscore,20240220,132601
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132642_jpg.rf.419401059068264b9fcf74cdfd31a4c3.jpg,test,IMG_20240220_132642,roboflow,ts_underscore,20240220,132642
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132702_jpg.rf.9afbefef4012ba90e2c01a45ace97118.jpg,test,IMG_20240220_132702,roboflow,ts_underscore,20240220,132702
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_132849_jpg.rf.da9b465f39e5e8d432bdfb22bcbab693.jpg,test,IMG_20240220_132849,roboflow,ts_underscore,20240220,132849
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_133024_jpg.rf.64df91f54b138445e1c1415caedcc635.jpg,test,IMG_20240220_133024,roboflow,ts_underscore,20240220,133024
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_133130_jpg.rf.eba77575e367ac0e848c7ed46fc5903e.jpg,test,IMG_20240220_133130,roboflow,ts_underscore,20240220,133130
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_133352_jpg.rf.bf2311f408e9b230dd5bd8f847f3a719.jpg,test,IMG_20240220_133352,roboflow,ts_underscore,20240220,133352
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_134137_jpg.rf.2ddd06351f0f48c9c1f0f5ff18c0547b.jpg,test,IMG_20240220_134137,roboflow,ts_underscore,20240220,134137
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_135316_jpg.rf.86ecdcb8ede74080b37939b00a813356.jpg,test,IMG_20240220_135316,roboflow,ts_underscore,20240220,135316
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_135322_jpg.rf.2d994b0cc8f3802324cdcbdcb6fdd82f.jpg,test,IMG_20240220_135322,roboflow,ts_underscore,20240220,135322
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_135410_jpg.rf.301c2957b7e25e18602c0cc3354047fa.jpg,test,IMG_20240220_135410,roboflow,ts_underscore,20240220,135410
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_135627_jpg.rf.0a74794fb5ce1f8eecb7d53f0effdb5e.jpg,test,IMG_20240220_135627,roboflow,ts_underscore,20240220,135627
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240220_135723_jpg.rf.0ff88ae88bf6b102c93373ad0a34778f.jpg,test,IMG_20240220_135723,roboflow,ts_underscore,20240220,135723
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_123102_jpg.rf.b9f18438512804aca24c2bd0c4b72299.jpg,test,IMG_20240228_123102,roboflow,ts_underscore,20240228,123102
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_123116_jpg.rf.3220aa9aef7e3bc7777145a86be7cf44.jpg,test,IMG_20240228_123116,roboflow,ts_underscore,20240228,123116
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_123641_jpg.rf.f4abc9c0bcb6416755a85bd6d036f715.jpg,test,IMG_20240228_123641,roboflow,ts_underscore,20240228,123641
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_123700_jpg.rf.f129c8b787843039cd11e35552fdd0c4.jpg,test,IMG_20240228_123700,roboflow,ts_underscore,20240228,123700
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_123716_jpg.rf.c1a8abba79e512ad3b271ad1fd7f1424.jpg,test,IMG_20240228_123716,roboflow,ts_underscore,20240228,123716
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_124433_jpg.rf.f0c84e41af2702587786a3a01f9ce87d.jpg,test,IMG_20240228_124433,roboflow,ts_underscore,20240228,124433
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_124619_jpg.rf.8b7faa9b763ae03eebb1c08260f899b1.jpg,test,IMG_20240228_124619,roboflow,ts_underscore,20240228,124619
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_125641_jpg.rf.7bec5fd95a8de6f97f14bbeb3deaf8ae.jpg,test,IMG_20240228_125641,roboflow,ts_underscore,20240228,125641
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_125719_jpg.rf.bcc68968898621daa5b94a7895e75c27.jpg,test,IMG_20240228_125719,roboflow,ts_underscore,20240228,125719
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_131018_jpg.rf.5b86dbc31381d86a84c689715c53f71a.jpg,test,IMG_20240228_131018,roboflow,ts_underscore,20240228,131018
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_131416_jpg.rf.678a6c01efd8521610930f1868f31220.jpg,test,IMG_20240228_131416,roboflow,ts_underscore,20240228,131416
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_131530_jpg.rf.a3e99f65a75bf1d59df6c102f3d7bb9e.jpg,test,IMG_20240228_131530,roboflow,ts_underscore,20240228,131530
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_132304_jpg.rf.9ad02584b327437c45fb118005bf821c.jpg,test,IMG_20240228_132304,roboflow,ts_underscore,20240228,132304
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG_20240228_132345_jpg.rf.cf6a5fd3a131e46c4df392870e8157d0.jpg,test,IMG_20240228_132345,roboflow,ts_underscore,20240228,132345
