split_a,split_b,stem_a,stem_b,family_a,family_b,n_boxes,raw_max_dist,raw_mean_dist,raw_mean_iou,aligned_max_dist,aligned_mean_dist,aligned_mean_iou,time_gap_s,low_info
train,train,IMG_5270,IMG_5271,counter,counter,8,0.09219,0.0544,0.534,0.04975,0.02833,0.6847,,False
train,train,IMG_5272,IMG_5273,counter,counter,8,0.06779,0.04227,0.6043,0.02847,0.01588,0.7898,,False
train,train,IMG_5273,IMG_5274,counter,counter,8,0.05601,0.04014,0.6013,0.03128,0.02033,0.7519,,False
train,train,IMG_5224,IMG_5225,counter,counter,6,0.06113,0.04682,0.5277,0.04047,0.02241,0.6944,,False
train,train,IMG_5224,IMG_5226,counter,counter,6,0.04546,0.02589,0.6782,0.02217,0.01084,0.7973,,False
train,train,IMG_5225,IMG_5226,counter,counter,6,0.06219,0.04066,0.5928,0.04267,0.0238,0.7053,,False
train,train,IMG_5230,IMG_5231,counter,counter,6,0.07668,0.0515,0.5068,0.04995,0.03025,0.6547,,False
train,train,IMG_5231,IMG_5232,counter,counter,6,0.05347,0.04117,0.5972,0.04468,0.0284,0.6751,,False
train,train,IMG20240306120710,IMG20240306120710_01,ts_compact,ts_compact_sub,3,0.01161,0.00878,0.8095,0.01113,0.00753,0.8062,0.0,False
train,train,IMG_20240220_131548,IMG_20240220_131552,ts_underscore,ts_underscore,12,0.06872,0.05898,0.1268,0.01017,0.00393,0.874,4.0,False
train,valid,IMG_20240228_132444,IMG_20240228_132451,ts_underscore,ts_underscore,8,0.05797,0.03563,0.6053,0.04075,0.02802,0.6259,7.0,False
valid,valid,IMG_20240228_132451,IMG_20240228_132455,ts_underscore,ts_underscore,8,0.08983,0.06767,0.3733,0.04131,0.01903,0.4606,4.0,False
valid,valid,IMG_20240228_132504,IMG_20240228_132510,ts_underscore,ts_underscore,8,0.04942,0.02876,0.5919,0.03893,0.02267,0.6149,6.0,False
train,train,IMG_20240309_115810,IMG_20240309_115813,ts_underscore,ts_underscore,4,0.03679,0.01706,0.7503,0.02299,0.01347,0.7694,3.0,False
train,train,IMG_20240220_120508,IMG_20240220_120515,ts_underscore,ts_underscore,6,0.04857,0.03222,0.5383,0.04748,0.03174,0.5181,7.0,False
train,train,IMG_20240220_120515,IMG_20240220_120539,ts_underscore,ts_underscore,6,0.09111,0.05933,0.3539,0.033,0.02018,0.6085,24.0,False
train,train,IMG_20240309_113424,IMG_20240309_113430,ts_underscore,ts_underscore,4,0.07481,0.05638,0.617,0.04768,0.03961,0.6957,6.0,False
train,train,IMG_20240303_105811,IMG_20240303_105815,ts_underscore,ts_underscore,1,0.06489,0.06489,0.3752,0.0,0.0,0.3752,4.0,True
train,train,IMG_20240303_105811,IMG_20240303_105825,ts_underscore,ts_underscore,1,0.04596,0.04596,0.7969,0.0,0.0,0.8777,14.0,True
train,train,IMG_20240303_105811,IMG_20240303_105829,ts_underscore,ts_underscore,1,0.01992,0.01992,0.5922,0.0,0.0,0.5922,18.0,True
train,test,IMG_20240303_105811,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.02096,0.02096,0.5681,0.0,0.0,0.5681,26.0,True
train,valid,IMG_20240303_105811,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.07882,0.07882,0.7258,0.0,0.0,0.7609,32.0,True
train,valid,IMG_20240303_105811,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.04033,0.04033,0.5404,0.0,0.0,0.5404,35.0,True
train,train,IMG_20240303_105811,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.05333,0.05333,0.6988,0.0,0.0,0.6988,43.0,True
train,valid,IMG_20240303_105811,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.17822,0.17822,0.3975,0.0,0.0,0.5927,51.0,True
train,train,IMG_20240303_105811,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.03809,0.03809,0.2441,0.0,0.0,0.2441,57.0,True
train,train,IMG_20240303_105815,IMG_20240303_105825,ts_underscore,ts_underscore,1,0.10618,0.10618,0.3915,0.0,0.0,0.3915,10.0,True
train,train,IMG_20240303_105815,IMG_20240303_105829,ts_underscore,ts_underscore,1,0.06331,0.06331,0.2222,0.0,0.0,0.2222,14.0,True
train,test,IMG_20240303_105815,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.04756,0.04756,0.2131,0.0,0.0,0.2131,22.0,True
train,valid,IMG_20240303_105815,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.02413,0.02413,0.2855,0.0,0.0,0.2855,28.0,True
train,valid,IMG_20240303_105815,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.0323,0.0323,0.2028,0.0,0.0,0.2028,31.0,True
train,train,IMG_20240303_105815,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.08895,0.08895,0.2622,0.0,0.0,0.2622,39.0,True
train,valid,IMG_20240303_105815,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.19985,0.19985,0.196,0.0,0.0,0.4456,47.0,True
train,train,IMG_20240303_105815,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.05807,0.05807,0.3762,0.0,0.0,0.3762,53.0,True
train,train,IMG_20240303_105825,IMG_20240303_105829,ts_underscore,ts_underscore,1,0.04322,0.04322,0.5675,0.0,0.0,0.5675,4.0,True
train,test,IMG_20240303_105825,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.06686,0.06686,0.5444,0.0,0.0,0.5444,12.0,True
train,valid,IMG_20240303_105825,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.12335,0.12335,0.5906,0.0,0.0,0.7291,18.0,True
train,valid,IMG_20240303_105825,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.08595,0.08595,0.5179,0.0,0.0,0.5179,21.0,True
train,train,IMG_20240303_105825,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.08464,0.08464,0.6359,0.0,0.0,0.6696,29.0,True
train,valid,IMG_20240303_105825,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.20133,0.20133,0.3417,0.0,0.0,0.6628,37.0,True
train,train,IMG_20240303_105825,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.05639,0.05639,0.2491,0.0,0.0,0.2547,43.0,True
train,test,IMG_20240303_105829,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.03249,0.03249,0.7748,0.0,0.0,0.7748,8.0,True
train,valid,IMG_20240303_105829,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.08212,0.08212,0.6509,0.0,0.0,0.7783,14.0,True
train,valid,IMG_20240303_105829,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.04806,0.04806,0.6627,0.0,0.0,0.6627,17.0,True
train,train,IMG_20240303_105829,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.07316,0.07316,0.7212,0.0,0.0,0.8474,25.0,True
train,valid,IMG_20240303_105829,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.1981,0.1981,0.4466,0.0,0.0,0.4986,33.0,True
train,train,IMG_20240303_105829,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.01941,0.01941,0.1446,0.0,0.0,0.1446,39.0,True
test,valid,IMG_20240303_105837,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.05857,0.05857,0.7466,0.0,0.0,0.7466,6.0,True
test,valid,IMG_20240303_105837,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.01953,0.01953,0.8407,0.0,0.0,0.8407,9.0,True
test,train,IMG_20240303_105837,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.04963,0.04963,0.6743,0.0,0.0,0.7009,17.0,True
test,valid,IMG_20240303_105837,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.17262,0.17262,0.4257,0.0,0.0,0.4783,25.0,True
test,train,IMG_20240303_105837,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.04381,0.04381,0.1387,0.0,0.0,0.1387,31.0,True
valid,valid,IMG_20240303_105843,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.03926,0.03926,0.7103,0.0,0.0,0.7103,3.0,True
valid,train,IMG_20240303_105843,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.08822,0.08822,0.6506,0.0,0.0,0.7436,11.0,True
valid,valid,IMG_20240303_105843,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.18725,0.18725,0.3975,0.0,0.0,0.6407,19.0,True
valid,train,IMG_20240303_105843,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.08026,0.08026,0.1857,0.0,0.0,0.1857,25.0,True
valid,train,IMG_20240303_105846,IMG_20240303_105854,ts_underscore,ts_underscore,1,0.05697,0.05697,0.6011,0.0,0.0,0.6011,8.0,True
valid,valid,IMG_20240303_105846,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.1731,0.1731,0.3813,0.0,0.0,0.4551,16.0,True
valid,train,IMG_20240303_105846,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.05355,0.05355,0.1319,0.0,0.0,0.1319,22.0,True
train,valid,IMG_20240303_105854,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.12497,0.12497,0.504,0.0,0.0,0.504,8.0,True
train,train,IMG_20240303_105854,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.09001,0.09001,0.1706,0.0,0.0,0.1706,14.0,True
valid,train,IMG_20240303_105902,IMG_20240303_105908,ts_underscore,ts_underscore,1,0.21481,0.21481,0.0892,0.0,0.0,0.2899,6.0,True
train,train,IMG_20240220_115304,IMG_20240220_115315,ts_underscore,ts_underscore,5,0.09298,0.06512,0.3299,0.03838,0.02447,0.5672,11.0,False
train,train,IMG_20240220_115304,IMG_20240220_115316,ts_underscore,ts_underscore,5,0.08878,0.05864,0.3879,0.04133,0.02805,0.58,12.0,False
train,train,IMG_20240220_115315,IMG_20240220_115316,ts_underscore,ts_underscore,5,0.01408,0.00876,0.77,0.00712,0.00485,0.7787,1.0,False
train,train,IMG20240309114933,IMG20240309114949,ts_compact,ts_compact,5,0.19028,0.14591,0.1905,0.04799,0.03276,0.6216,16.0,False
train,train,IMG_20240220_114725,IMG_20240220_114731,ts_underscore,ts_underscore,8,0.04802,0.03739,0.5129,0.01824,0.01181,0.7533,6.0,False
valid,valid,IMG_20240228_132316,IMG_20240228_132324,ts_underscore,ts_underscore,4,0.06052,0.04275,0.4851,0.04481,0.03438,0.585,8.0,False
train,train,IMG_20240220_115224,IMG_20240220_115229,ts_underscore,ts_underscore,4,0.09914,0.08228,0.2434,0.03204,0.01986,0.5855,5.0,False
train,valid,IMG_20240303_105731,IMG_20240303_105739,ts_underscore,ts_underscore,1,0.02519,0.02519,0.55,0.0,0.0,0.55,8.0,True
train,valid,IMG_20240303_105731,IMG_20240303_105748,ts_underscore,ts_underscore,1,0.082,0.082,0.5099,0.0,0.0,0.5099,17.0,True
train,train,IMG_20240303_105731,IMG_20240303_105752,ts_underscore,ts_underscore,1,0.01958,0.01958,0.535,0.0,0.0,0.535,21.0,True
train,train,IMG_20240303_105731,IMG_20240303_105758,ts_underscore,ts_underscore,1,0.15114,0.15114,0.2849,0.0,0.0,0.3692,27.0,True
valid,valid,IMG_20240303_105739,IMG_20240303_105748,ts_underscore,ts_underscore,1,0.06128,0.06128,0.4602,0.0,0.0,0.5034,9.0,True
valid,train,IMG_20240303_105739,IMG_20240303_105752,ts_underscore,ts_underscore,1,0.04477,0.04477,0.3282,0.0,0.0,0.3282,13.0,True
valid,train,IMG_20240303_105739,IMG_20240303_105758,ts_underscore,ts_underscore,1,0.12596,0.12596,0.3644,0.0,0.0,0.3644,19.0,True
valid,train,IMG_20240303_105748,IMG_20240303_105752,ts_underscore,ts_underscore,1,0.09938,0.09938,0.4591,0.0,0.0,0.4591,4.0,True
valid,train,IMG_20240303_105748,IMG_20240303_105758,ts_underscore,ts_underscore,1,0.08714,0.08714,0.5391,0.0,0.0,0.7221,10.0,True
train,train,IMG_20240303_105752,IMG_20240303_105758,ts_underscore,ts_underscore,1,0.1707,0.1707,0.2886,0.0,0.0,0.345,6.0,True
train,train,IMG_20240220_121114,IMG_20240220_121153,ts_underscore,ts_underscore,4,0.0886,0.05016,0.4975,0.049,0.03457,0.4784,39.0,False
train,train,IMG_20240309_113936,IMG_20240309_113942,ts_underscore,ts_underscore,1,0.09254,0.09254,0.6017,0.0,0.0,0.6413,6.0,True
train,train,IMG_20240309_113936,IMG_20240309_113949,ts_underscore,ts_underscore,1,0.05011,0.05011,0.5886,0.0,0.0,0.5886,13.0,True
train,train,IMG_20240309_113936,IMG_20240309_113956,ts_underscore,ts_underscore,1,0.14287,0.14287,0.4181,0.0,0.0,0.4181,20.0,True
train,test,IMG_20240309_113936,IMG_20240309_114006,ts_underscore,ts_underscore,1,0.0961,0.0961,0.5165,0.0,0.0,0.6463,30.0,True
train,train,IMG_20240309_113942,IMG_20240309_113949,ts_underscore,ts_underscore,1,0.1189,0.1189,0.4197,0.0,0.0,0.6585,7.0,True
train,train,IMG_20240309_113942,IMG_20240309_113956,ts_underscore,ts_underscore,1,0.16628,0.16628,0.2708,0.0,0.0,0.273,14.0,True
train,test,IMG_20240309_113942,IMG_20240309_114006,ts_underscore,ts_underscore,1,0.06028,0.06028,0.422,0.0,0.0,0.422,24.0,True
train,train,IMG_20240309_113949,IMG_20240309_113956,ts_underscore,ts_underscore,1,0.19147,0.19147,0.321,0.0,0.0,0.4146,7.0,True
train,test,IMG_20240309_113949,IMG_20240309_114006,ts_underscore,ts_underscore,1,0.14062,0.14062,0.49,0.0,0.0,0.6409,17.0,True
train,test,IMG_20240309_113956,IMG_20240309_114006,ts_underscore,ts_underscore,1,0.10938,0.10938,0.5801,0.0,0.0,0.647,10.0,True
valid,train,IMG_20240309_114034,IMG_20240309_114042,ts_underscore,ts_underscore,1,0.10323,0.10323,0.5747,0.0,0.0,0.7933,8.0,True
valid,valid,IMG_20240309_114034,IMG_20240309_114056,ts_underscore,ts_underscore,1,0.12706,0.12706,0.4942,0.0,0.0,0.6665,22.0,True
valid,train,IMG_20240309_114034,IMG_20240309_114100,ts_underscore,ts_underscore,1,0.16301,0.16301,0.4324,0.0,0.0,0.7644,26.0,True
valid,train,IMG_20240309_114034,IMG_20240309_114116,ts_underscore,ts_underscore,1,0.13245,0.13245,0.5595,0.0,0.0,0.7562,42.0,True
train,valid,IMG_20240309_114042,IMG_20240309_114056,ts_underscore,ts_underscore,1,0.04474,0.04474,0.7015,0.0,0.0,0.7722,14.0,True
train,train,IMG_20240309_114042,IMG_20240309_114100,ts_underscore,ts_underscore,1,0.12346,0.12346,0.5748,0.0,0.0,0.7719,18.0,True
train,train,IMG_20240309_114042,IMG_20240309_114116,ts_underscore,ts_underscore,1,0.0416,0.0416,0.6508,0.0,0.0,0.7171,34.0,True
valid,train,IMG_20240309_114056,IMG_20240309_114100,ts_underscore,ts_underscore,1,0.16541,0.16541,0.5056,0.0,0.0,0.8398,4.0,True
valid,train,IMG_20240309_114056,IMG_20240309_114116,ts_underscore,ts_underscore,1,0.07515,0.07515,0.4693,0.0,0.0,0.5767,20.0,True
train,train,IMG_20240309_114100,IMG_20240309_114116,ts_underscore,ts_underscore,1,0.09272,0.09272,0.4978,0.0,0.0,0.5897,16.0,True
test,train,IMG_20240228_123015,IMG_20240228_124921,ts_underscore,ts_underscore,1,0.04099,0.04099,0.8101,0.0,0.0,0.8366,1146.0,True
test,valid,IMG_20240228_123015,IMG_20240228_140644,ts_underscore,ts_underscore,1,0.03523,0.03523,0.8123,0.0,0.0,0.943,5789.0,True
test,valid,IMG_20240228_123015,IMG_20240228_140650,ts_underscore,ts_underscore,1,0.05368,0.05368,0.4713,0.0,0.0,0.4713,5795.0,True
test,valid,IMG_20240228_123015,IMG_20240228_140654,ts_underscore,ts_underscore,1,0.01657,0.01657,0.3508,0.0,0.0,0.3508,5799.0,True
train,valid,IMG_20240228_124921,IMG_20240228_140644,ts_underscore,ts_underscore,1,0.0063,0.0063,0.8605,0.0,0.0,0.8621,4643.0,True
train,valid,IMG_20240228_124921,IMG_20240228_140650,ts_underscore,ts_underscore,1,0.0169,0.0169,0.4309,0.0,0.0,0.4309,4649.0,True
train,valid,IMG_20240228_124921,IMG_20240228_140654,ts_underscore,ts_underscore,1,0.02442,0.02442,0.3938,0.0,0.0,0.3938,4653.0,True
valid,valid,IMG_20240228_140644,IMG_20240228_140650,ts_underscore,ts_underscore,1,0.02271,0.02271,0.4998,0.0,0.0,0.4998,6.0,True
valid,valid,IMG_20240228_140644,IMG_20240228_140654,ts_underscore,ts_underscore,1,0.01875,0.01875,0.3644,0.0,0.0,0.3644,10.0,True
valid,valid,IMG_20240228_140650,IMG_20240228_140654,ts_underscore,ts_underscore,1,0.03774,0.03774,0.2693,0.0,0.0,0.2693,4.0,True
train,train,IMG_20240309_113647,IMG_20240309_113655,ts_underscore,ts_underscore,1,0.04837,0.04837,0.7118,0.0,0.0,0.7118,8.0,True
train,train,IMG_20240309_113647,IMG_20240309_113702,ts_underscore,ts_underscore,1,0.06018,0.06018,0.6259,0.0,0.0,0.6407,15.0,True
train,test,IMG_20240309_113647,IMG_20240309_113711,ts_underscore,ts_underscore,1,0.09957,0.09957,0.5847,0.0,0.0,0.9091,24.0,True
train,train,IMG_20240309_113655,IMG_20240309_113702,ts_underscore,ts_underscore,1,0.07823,0.07823,0.5146,0.0,0.0,0.6319,7.0,True
train,test,IMG_20240309_113655,IMG_20240309_113711,ts_underscore,ts_underscore,1,0.06414,0.06414,0.6183,0.0,0.0,0.6867,16.0,True
train,test,IMG_20240309_113702,IMG_20240309_113711,ts_underscore,ts_underscore,1,0.14218,0.14218,0.4931,0.0,0.0,0.7047,9.0,True
valid,train,IMG_20240303_105917,IMG_20240303_105920,ts_underscore,ts_underscore,1,0.07826,0.07826,0.4778,0.0,0.0,0.4778,3.0,True
valid,train,IMG_20240303_105917,IMG_20240303_105932,ts_underscore,ts_underscore,1,0.26872,0.26872,0.27,0.0,0.0,0.4277,15.0,True
valid,valid,IMG_20240303_105917,IMG_20240303_105938,ts_underscore,ts_underscore,1,0.02287,0.02287,0.4278,0.0,0.0,0.4278,21.0,True
train,train,IMG_20240303_105920,IMG_20240303_105932,ts_underscore,ts_underscore,1,0.20519,0.20519,0.4697,0.0,0.0,0.5538,12.0,True
train,valid,IMG_20240303_105920,IMG_20240303_105938,ts_underscore,ts_underscore,1,0.09005,0.09005,0.7259,0.0,0.0,0.8954,18.0,True
train,valid,IMG_20240303_105932,IMG_20240303_105938,ts_underscore,ts_underscore,1,0.28767,0.28767,0.3267,0.0,0.0,0.5559,6.0,True
train,valid,IMG_20240309_114215,IMG_20240309_114221,ts_underscore,ts_underscore,1,0.11737,0.11737,0.3061,0.0,0.0,0.5994,6.0,True
train,train,IMG_20240309_114215,IMG_20240309_114244,ts_underscore,ts_underscore,1,0.09077,0.09077,0.3905,0.0,0.0,0.7007,29.0,True
train,valid,IMG_20240309_114215,IMG_20240309_114248,ts_underscore,ts_underscore,1,0.11072,0.11072,0.1202,0.0,0.0,0.7772,33.0,True
valid,train,IMG_20240309_114221,IMG_20240309_114244,ts_underscore,ts_underscore,1,0.0687,0.0687,0.4233,0.0,0.0,0.5026,23.0,True
valid,valid,IMG_20240309_114221,IMG_20240309_114248,ts_underscore,ts_underscore,1,0.11207,0.11207,0.2783,0.0,0.0,0.475,27.0,True
train,valid,IMG_20240309_114244,IMG_20240309_114248,ts_underscore,ts_underscore,1,0.14858,0.14858,0.0,0.0,0.0,0.8319,4.0,True
train,train,IMG_5320,IMG_5321,counter,counter,5,0.03015,0.01803,0.8101,0.03115,0.01694,0.8177,,False
train,train,IMG_5320,IMG_5322,counter,counter,5,0.0579,0.03766,0.6908,0.03474,0.02566,0.7441,,False
train,train,IMG_5320,IMG_5323,counter,counter,5,0.04625,0.03332,0.6967,0.04487,0.03355,0.6942,,False
train,train,IMG_5321,IMG_5322,counter,counter,5,0.0542,0.03085,0.7433,0.03197,0.01969,0.8225,,False
train,train,IMG_5321,IMG_5323,counter,counter,5,0.03509,0.02376,0.7833,0.0372,0.02349,0.7854,,False
train,train,IMG_5322,IMG_5323,counter,counter,5,0.04042,0.02862,0.7439,0.01257,0.00861,0.9049,,False
test,train,IMG_20240228_123455,IMG_20240228_130516,ts_underscore,ts_underscore,1,0.07617,0.07617,0.2736,0.0,0.0,0.2736,1821.0,True
test,valid,IMG_20240228_123455,IMG_20240228_131410,ts_underscore,ts_underscore,1,0.07031,0.07031,0.4691,0.0,0.0,0.4691,2355.0,True
test,train,IMG_20240228_123455,IMG_20240228_131416,ts_underscore,ts_underscore,1,0.1356,0.1356,0.1167,0.0,0.0,0.4989,2361.0,True
train,valid,IMG_20240228_130516,IMG_20240228_131410,ts_underscore,ts_underscore,1,0.11231,0.11231,0.3523,0.0,0.0,0.4376,534.0,True
train,train,IMG_20240228_130516,IMG_20240228_131416,ts_underscore,ts_underscore,1,0.17837,0.17837,0.2198,0.0,0.0,0.432,540.0,True
valid,train,IMG_20240228_131410,IMG_20240228_131416,ts_underscore,ts_underscore,1,0.06822,0.06822,0.3124,0.0,0.0,0.3124,6.0,True
train,train,IMG_20240220_122012,IMG_20240220_122028,ts_underscore,ts_underscore,7,0.05705,0.03071,0.5728,0.03926,0.02456,0.6452,16.0,False
test,train,IMG_20240228_123336,IMG_20240228_124449,ts_underscore,ts_underscore,1,0.23837,0.23837,0.3188,0.0,0.0,0.4357,673.0,True
test,valid,IMG_20240228_123336,IMG_20240228_124455,ts_underscore,ts_underscore,1,0.29105,0.29105,0.1894,0.0,0.0,0.4032,679.0,True
train,valid,IMG_20240228_124449,IMG_20240228_124455,ts_underscore,ts_underscore,1,0.09644,0.09644,0.5631,0.0,0.0,0.6568,6.0,True
valid,test,IMG_20240309_114132,IMG_20240309_114140,ts_underscore,ts_underscore,1,0.07888,0.07888,0.5154,0.0,0.0,0.6643,8.0,True
