stem,actual_split,csv_DATA_TYPE,filename_family,DEVICE_NAME,BACKGROUND,date,time,in_counter_family
IMG_20240228_131410,valid,train,ts_underscore,REDMI,Black,20240228,131410,False
IMG20240228131420,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,131420,False
IMG_20240228_131519,valid,train,ts_underscore,REDMI,Black,20240228,131519,False
IMG_20240228_131524,valid,train,ts_underscore,REDMI,Black,20240228,131524,False
IMG_20240228_131536,valid,train,ts_underscore,REDMI,Black,20240228,131536,False
IMG_20240228_131542,valid,train,ts_underscore,REDMI,Black,20240228,131542,False
IMG_20240228_131557,valid,train,ts_underscore,REDMI,Black,20240228,131557,False
IMG_20240228_131608,valid,train,ts_underscore,REDMI,Black,20240228,131608,False
IMG_20240228_131617,valid,train,ts_underscore,REDMI,Black,20240228,131617,False
IMG_20240228_131627,valid,train,ts_underscore,REDMI,Black,20240228,131627,False
IMG_20240228_131640,valid,train,ts_underscore,REDMI,Black,20240228,131640,False
IMG_20240228_131657,valid,train,ts_underscore,REDMI,Black,20240228,131657,False
IMG_20240228_131829,valid,train,ts_underscore,REDMI,Black,20240228,131829,False
IMG20240228131832,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,131832,False
IMG_20240228_131832,valid,train,ts_underscore,REDMI,Black,20240228,131832,False
IMG_20240228_131854,valid,train,ts_underscore,REDMI,Black,20240228,131854,False
IMG_20240228_131857,valid,train,ts_underscore,REDMI,Black,20240228,131857,False
IMG20240228131859,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,131859,False
IMG20240228131905,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,131905,False
IMG_20240228_131907,valid,train,ts_underscore,REDMI,Black,20240228,131907,False
IMG_20240228_132253,valid,train,ts_underscore,REDMI,Black,20240228,132253,False
IMG20240228132302,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,132302,False
IMG_20240228_132316,valid,train,ts_underscore,REDMI,Black,20240228,132316,False
IMG_20240228_132320,valid,train,ts_underscore,REDMI,Black,20240228,132320,False
IMG_20240228_132324,valid,train,ts_underscore,REDMI,Black,20240228,132324,False
IMG_20240228_132332,valid,train,ts_underscore,REDMI,Black,20240228,132332,False
IMG_20240228_132418,valid,train,ts_underscore,REDMI,Black,20240228,132418,False
IMG_20240228_132419,valid,train,ts_underscore,REDMI,Black,20240228,132419,False
IMG_20240228_132424,valid,train,ts_underscore,REDMI,Black,20240228,132424,False
IMG20240228132440,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,132440,False
IMG20240228132445,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,132445,False
IMG_20240228_132451,valid,train,ts_underscore,REDMI,Black,20240228,132451,False
IMG_20240228_132500,valid,train,ts_underscore,REDMI,Black,20240228,132500,False
IMG_20240228_132504,valid,train,ts_underscore,REDMI,Black,20240228,132504,False
IMG_20240228_132510,valid,train,ts_underscore,REDMI,Black,20240228,132510,False
IMG_20240228_132515,valid,train,ts_underscore,REDMI,Black,20240228,132515,False
IMG_20240228_132527,valid,train,ts_underscore,REDMI,Black,20240228,132527,False
IMG_20240228_132535,valid,train,ts_underscore,REDMI,Black,20240228,132535,False
IMG_20240228_132539,valid,train,ts_underscore,REDMI,Black,20240228,132539,False
IMG_20240228_132543,valid,train,ts_underscore,REDMI,Black,20240228,132543,False
IMG_20240228_132547,valid,train,ts_underscore,REDMI,Black,20240228,132547,False
IMG_20240228_132601,valid,train,ts_underscore,REDMI,Black,20240228,132601,False
IMG_20240228_132605,valid,train,ts_underscore,REDMI,Black,20240228,132605,False
IMG20240228132725,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,132725,False
IMG20240228132838,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,132838,False
IMG_20240228_132917,valid,train,ts_underscore,REDMI,Wooden,20240228,132917,False
IMG_20240228_132923,valid,train,ts_underscore,REDMI,Wooden,20240228,132923,False
IMG_20240228_132927,valid,train,ts_underscore,REDMI,Wooden,20240228,132927,False
IMG_20240228_132934,valid,train,ts_underscore,REDMI,Wooden,20240228,132934,False
IMG_20240228_132943,valid,train,ts_underscore,REDMI,Wooden,20240228,132943,False
IMG_20240228_132953,valid,train,ts_underscore,REDMI,Wooden,20240228,132953,False
IMG_20240228_133006,valid,train,ts_underscore,REDMI,Wooden,20240228,133006,False
IMG_20240228_133018,valid,train,ts_underscore,REDMI,Wooden,20240228,133018,False
IMG_20240228_133024,valid,train,ts_underscore,REDMI,Wooden,20240228,133024,False
IMG_20240228_133047,valid,train,ts_underscore,REDMI,Wooden,20240228,133047,False
IMG_20240228_133109,valid,train,ts_underscore,REDMI,Wooden,20240228,133109,False
IMG_20240228_133113,valid,train,ts_underscore,REDMI,Wooden,20240228,133113,False
IMG_20240228_133123,valid,train,ts_underscore,REDMI,Wooden,20240228,133123,False
IMG20240228133137,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,133137,False
IMG_20240228_133145,valid,train,ts_underscore,REDMI,Wooden,20240228,133145,False
IMG_20240228_133157,valid,train,ts_underscore,REDMI,Wooden,20240228,133157,False
IMG_20240228_133510,valid,train,ts_underscore,REDMI,Wooden,20240228,133510,False
IMG_20240228_133527,valid,train,ts_underscore,REDMI,Wooden,20240228,133527,False
IMG_20240228_133530,valid,train,ts_underscore,REDMI,Wooden,20240228,133530,False
IMG_20240228_133539,valid,train,ts_underscore,REDMI,Wooden,20240228,133539,False
IMG_20240228_133557,valid,train,ts_underscore,REDMI,Wooden,20240228,133557,False
IMG_20240228_133600,valid,train,ts_underscore,REDMI,Wooden,20240228,133600,False
IMG_20240228_133607,valid,train,ts_underscore,REDMI,Wooden,20240228,133607,False
IMG_20240228_133631,valid,train,ts_underscore,REDMI,Wooden,20240228,133631,False
IMG_20240228_133640,valid,train,ts_underscore,REDMI,Wooden,20240228,133640,False
IMG_20240228_135521,valid,train,ts_underscore,REDMI,Black,20240228,135521,False
IMG_20240228_135641,valid,train,ts_underscore,REDMI,Wooden,20240228,135641,False
IMG_20240228_135656,valid,train,ts_underscore,REDMI,Wooden,20240228,135656,False
IMG_20240228_135706,valid,train,ts_underscore,REDMI,Wooden,20240228,135706,False
IMG_20240228_135713,valid,train,ts_underscore,REDMI,Wooden,20240228,135713,False
IMG_20240228_135720,valid,train,ts_underscore,REDMI,Wooden,20240228,135720,False
IMG_20240228_135734,valid,train,ts_underscore,REDMI,Wooden,20240228,135734,False
IMG_20240228_135854,valid,train,ts_underscore,REDMI,Wooden,20240228,135854,False
IMG_20240228_135906,valid,train,ts_underscore,REDMI,Wooden,20240228,135906,False
IMG_20240228_135909,valid,train,ts_underscore,REDMI,Wooden,20240228,135909,False
IMG_20240228_135924,valid,train,ts_underscore,REDMI,Wooden,20240228,135924,False
IMG_20240228_140058,valid,train,ts_underscore,REDMI,Wooden,20240228,140058,False
IMG_20240228_140101,valid,train,ts_underscore,REDMI,Wooden,20240228,140101,False
IMG_20240228_140129,valid,train,ts_underscore,REDMI,Wooden,20240228,140129,False
IMG_20240228_140134,valid,train,ts_underscore,REDMI,Wooden,20240228,140134,False
IMG_20240228_140137,valid,train,ts_underscore,REDMI,Wooden,20240228,140137,False
IMG_20240228_140145,valid,train,ts_underscore,REDMI,Wooden,20240228,140145,False
IMG_20240228_140150,valid,train,ts_underscore,REDMI,Wooden,20240228,140150,False
IMG_20240228_140218,valid,train,ts_underscore,REDMI,Wooden,20240228,140218,False
IMG_20240228_140224,valid,train,ts_underscore,REDMI,Wooden,20240228,140224,False
IMG_20240228_140229,valid,train,ts_underscore,REDMI,Wooden,20240228,140229,False
IMG_20240228_140238,valid,train,ts_underscore,REDMI,Wooden,20240228,140238,False
IMG_20240228_140249,valid,train,ts_underscore,REDMI,Wooden,20240228,140249,False
IMG_20240228_140319,valid,train,ts_underscore,REDMI,Wooden,20240228,140319,False
IMG_20240228_140418,valid,train,ts_underscore,REDMI,Wooden,20240228,140418,False
IMG_20240228_140434,valid,train,ts_underscore,REDMI,Wooden,20240228,140434,False
IMG_20240228_140455,valid,train,ts_underscore,REDMI,Wooden,20240228,140455,False
IMG_20240228_140503,valid,train,ts_underscore,REDMI,Wooden,20240228,140503,False
IMG_20240228_140533,valid,train,ts_underscore,REDMI,Wooden,20240228,140533,False
IMG_20240228_140537,valid,train,ts_underscore,REDMI,Wooden,20240228,140537,False
IMG_20240228_140544,valid,train,ts_underscore,REDMI,Wooden,20240228,140544,False
IMG_20240228_140547,valid,train,ts_underscore,REDMI,Wooden,20240228,140547,False
IMG_20240228_140558,valid,train,ts_underscore,REDMI,Wooden,20240228,140558,False
IMG_20240228_140602,valid,train,ts_underscore,REDMI,Wooden,20240228,140602,False
IMG_20240228_140644,valid,train,ts_underscore,REDMI,Wooden,20240228,140644,False
IMG_20240228_140650,valid,train,ts_underscore,REDMI,Wooden,20240228,140650,False
IMG_20240228_140654,valid,train,ts_underscore,REDMI,Wooden,20240228,140654,False
IMG_20240228_140706,valid,train,ts_underscore,REDMI,Wooden,20240228,140706,False
IMG_20240228_140713,valid,train,ts_underscore,REDMI,Wooden,20240228,140713,False
IMG_20240228_140717,valid,train,ts_underscore,REDMI,Wooden,20240228,140717,False
IMG_20240228_140725,valid,train,ts_underscore,REDMI,Wooden,20240228,140725,False
IMG_20240228_140741,valid,train,ts_underscore,REDMI,Wooden,20240228,140741,False
IMG_20240228_140756,valid,train,ts_underscore,REDMI,Wooden,20240228,140756,False
IMG_20240228_140815,valid,train,ts_underscore,REDMI,Wooden,20240228,140815,False
IMG_20240228_140818,valid,train,ts_underscore,REDMI,Wooden,20240228,140818,False
IMG_20240228_140829,valid,train,ts_underscore,REDMI,Wooden,20240228,140829,False
IMG_20240228_140944,valid,train,ts_underscore,REDMI,Wooden,20240228,140944,False
IMG_20240228_141019,valid,train,ts_underscore,REDMI,Wooden,20240228,141019,False
IMG_20240228_141024,valid,train,ts_underscore,REDMI,Wooden,20240228,141024,False
IMG_20240228_141045,valid,train,ts_underscore,REDMI,Wooden,20240228,141045,False
IMG_20240228_141047,valid,train,ts_underscore,REDMI,Wooden,20240228,141047,False
IMG_20240228_141123,valid,train,ts_underscore,REDMI,Wooden,20240228,141123,False
IMG_20240228_141129,valid,train,ts_underscore,REDMI,Wooden,20240228,141129,False
IMG_20240228_141143,valid,train,ts_underscore,REDMI,Wooden,20240228,141143,False
IMG_20240228_141214,valid,train,ts_underscore,REDMI,Wooden,20240228,141214,False
IMG_20240228_141330,valid,train,ts_underscore,REDMI,Wooden,20240228,141330,False
IMG_20240228_141431,valid,train,ts_underscore,REDMI,Wooden,20240228,141431,False
IMG_20240228_141501,valid,train,ts_underscore,REDMI,Wooden,20240228,141501,False
IMG_20240228_141511,valid,train,ts_underscore,REDMI,Wooden,20240228,141511,False
IMG_20240228_141518,valid,train,ts_underscore,REDMI,Wooden,20240228,141518,False
