counter_a,counter_b,stem_a,split_a,stem_b,split_b,cross_split,relationship,same_class_multiset,raw_max_centre_dist,aligned_max_centre_dist,score,n_boxes,low_information,file_a,file_b
5136,5137,IMG_5136,train,IMG_5137,train,no,same split,yes,0.11498,0.04447,0.04447,5,no,IMG_5136_JPG.rf.23fec3faeef0d871cbb29eae1710aa75.jpg,IMG_5137_JPG.rf.42b3fd5ebc67ee02bd1697923816d270.jpg
5137,5138,IMG_5137,train,IMG_5138,train,no,same split,yes,0.10280,0.06819,0.06819,5,no,IMG_5137_JPG.rf.42b3fd5ebc67ee02bd1697923816d270.jpg,IMG_5138_JPG.rf.df16ed1a71c0d4ad93f0fe8a209e6587.jpg
5138,5139,IMG_5138,train,IMG_5139,train,no,same split,yes,0.08155,0.06167,0.06167,5,no,IMG_5138_JPG.rf.df16ed1a71c0d4ad93f0fe8a209e6587.jpg,IMG_5139_JPG.rf.a83600c3a3d78c56a526d8f1ab057ea9.jpg
5139,5140,IMG_5139,train,IMG_5140,train,no,same split,yes,0.20846,0.15697,0.15697,5,no,IMG_5139_JPG.rf.a83600c3a3d78c56a526d8f1ab057ea9.jpg,IMG_5140_JPG.rf.bf7cc806df70f51aec47def4e0e308fc.jpg
5140,5141,IMG_5140,train,IMG_5141,train,no,same split,yes,0.22734,0.19070,0.19070,5,no,IMG_5140_JPG.rf.bf7cc806df70f51aec47def4e0e308fc.jpg,IMG_5141_JPG.rf.879ba45a3fbf949591cfdbc6be440b18.jpg
5141,5142,IMG_5141,train,IMG_5142,train,no,same split,yes,0.09654,0.06153,0.06153,5,no,IMG_5141_JPG.rf.879ba45a3fbf949591cfdbc6be440b18.jpg,IMG_5142_JPG.rf.a71e70ffde6182de5963f79b8a112822.jpg
5142,5143,IMG_5142,train,IMG_5143,train,no,same split,yes,0.48565,0.45036,0.45036,5,no,IMG_5142_JPG.rf.a71e70ffde6182de5963f79b8a112822.jpg,IMG_5143_JPG.rf.c2dbf519e1bb3a3648c5f1ea13c3bca2.jpg
5143,5144,IMG_5143,train,IMG_5144,train,no,same split,yes,0.05907,0.04595,0.04595,5,no,IMG_5143_JPG.rf.c2dbf519e1bb3a3648c5f1ea13c3bca2.jpg,IMG_5144_JPG.rf.eb2d016c556389da69fe5f673e04dd06.jpg
5144,5145,IMG_5144,train,IMG_5145,train,no,same split,yes,0.05712,0.03788,0.03788,5,no,IMG_5144_JPG.rf.eb2d016c556389da69fe5f673e04dd06.jpg,IMG_5145_JPG.rf.5044abb8c74e263d64ffa7c9005043ca.jpg
5145,5146,IMG_5145,train,IMG_5146,train,no,same split,yes,0.69243,0.66609,0.66609,5,no,IMG_5145_JPG.rf.5044abb8c74e263d64ffa7c9005043ca.jpg,IMG_5146_JPG.rf.07374f08fedab5eb74f6ef189093a8ee.jpg
5146,5147,IMG_5146,train,IMG_5147,train,no,same split,yes,0.19814,0.15663,0.15663,5,no,IMG_5146_JPG.rf.07374f08fedab5eb74f6ef189093a8ee.jpg,IMG_5147_JPG.rf.4e48f4c411651974b3017ddb6f063743.jpg
5147,5148,IMG_5147,train,IMG_5148,train,no,same split,yes,0.10487,0.02983,0.02983,5,no,IMG_5147_JPG.rf.4e48f4c411651974b3017ddb6f063743.jpg,IMG_5148_JPG.rf.3002e470231a2497507bb38851678ce4.jpg
5148,5149,IMG_5148,train,IMG_5149,train,no,same split,yes,0.09231,0.06685,0.06685,5,no,IMG_5148_JPG.rf.3002e470231a2497507bb38851678ce4.jpg,IMG_5149_JPG.rf.e23bd2100c000d5ae5f95467f0db481a.jpg
5149,5150,IMG_5149,train,IMG_5150,train,no,same split,yes,0.04147,0.04244,0.04147,5,no,IMG_5149_JPG.rf.e23bd2100c000d5ae5f95467f0db481a.jpg,IMG_5150_JPG.rf.f9ee72d890274d944eb388158e9c2fb6.jpg
5150,5151,IMG_5150,train,IMG_5151,train,no,same split,yes,0.11531,0.11719,0.11531,5,no,IMG_5150_JPG.rf.f9ee72d890274d944eb388158e9c2fb6.jpg,IMG_5151_JPG.rf.5d5d5c2981234572bf26446876ab6e46.jpg
5151,5152,IMG_5151,train,IMG_5152,valid,yes,valid<->train,yes,0.18703,0.12239,0.12239,5,no,IMG_5151_JPG.rf.5d5d5c2981234572bf26446876ab6e46.jpg,IMG_5152_JPG.rf.57f8d258b5fb0d15e1a5971f616e8bac.jpg
5152,5153,IMG_5152,valid,IMG_5153,train,yes,valid<->train,yes,0.22097,0.15973,0.15973,5,no,IMG_5152_JPG.rf.57f8d258b5fb0d15e1a5971f616e8bac.jpg,IMG_5153_JPG.rf.2bff55a33e82b9cbaff46beb4dac3eba.jpg
5153,5154,IMG_5153,train,IMG_5154,train,no,same split,yes,0.26091,0.27414,0.26091,5,no,IMG_5153_JPG.rf.2bff55a33e82b9cbaff46beb4dac3eba.jpg,IMG_5154_JPG.rf.f497f3b2d0d68523a3020685b98c70eb.jpg
5154,5155,IMG_5154,train,IMG_5155,train,no,same split,yes,0.06886,0.03839,0.03839,5,no,IMG_5154_JPG.rf.f497f3b2d0d68523a3020685b98c70eb.jpg,IMG_5155_JPG.rf.e4093a28b4f020bd997d7fae70b19cb6.jpg
5155,5156,IMG_5155,train,IMG_5156,train,no,same split,yes,0.08638,0.08584,0.08584,5,no,IMG_5155_JPG.rf.e4093a28b4f020bd997d7fae70b19cb6.jpg,IMG_5156_JPG.rf.697fcd1db6a82ae5d7f7c955a5f19fed.jpg
5156,5157,IMG_5156,train,IMG_5157,train,no,same split,yes,0.22777,0.23741,0.22777,5,no,IMG_5156_JPG.rf.697fcd1db6a82ae5d7f7c955a5f19fed.jpg,IMG_5157_JPG.rf.f8f19b015de981b54663715cf1b9358a.jpg
5157,5158,IMG_5157,train,IMG_5158,train,no,same split,yes,0.06302,0.05673,0.05673,5,no,IMG_5157_JPG.rf.f8f19b015de981b54663715cf1b9358a.jpg,IMG_5158_JPG.rf.4166f75b5a9a5007a280af084ac90e61.jpg
5158,5159,IMG_5158,train,IMG_5159,train,no,same split,yes,0.12875,0.03892,0.03892,5,no,IMG_5158_JPG.rf.4166f75b5a9a5007a280af084ac90e61.jpg,IMG_5159_JPG.rf.eb39239c5d59105034b7f1793db949f5.jpg
5159,5160,IMG_5159,train,IMG_5160,train,no,same split,yes,0.15021,0.08016,0.08016,5,no,IMG_5159_JPG.rf.eb39239c5d59105034b7f1793db949f5.jpg,IMG_5160_JPG.rf.e75ecf11d79f9720814ad7a73ff19cba.jpg
5160,5161,IMG_5160,train,IMG_5161,train,no,same split,yes,0.24227,0.26757,0.24227,5,no,IMG_5160_JPG.rf.e75ecf11d79f9720814ad7a73ff19cba.jpg,IMG_5161_JPG.rf.c5114aad01063e0844a7120aab16ae68.jpg
5161,5162,IMG_5161,train,IMG_5162,train,no,same split,yes,0.68060,0.65215,0.65215,5,no,IMG_5161_JPG.rf.c5114aad01063e0844a7120aab16ae68.jpg,IMG_5162_JPG.rf.a4dd265fffdeb6fe17562f574875d8b8.jpg
5162,5163,IMG_5162,train,IMG_5163,train,no,same split,yes,0.09328,0.06390,0.06390,5,no,IMG_5162_JPG.rf.a4dd265fffdeb6fe17562f574875d8b8.jpg,IMG_5163_JPG.rf.a0d80720b617e2f015122510e5818351.jpg
5163,5164,IMG_5163,train,IMG_5164,train,no,same split,yes,0.05807,0.03525,0.03525,5,no,IMG_5163_JPG.rf.a0d80720b617e2f015122510e5818351.jpg,IMG_5164_JPG.rf.ec216da11a32fdef87a9761de0eef7db.jpg
5164,5165,IMG_5164,train,IMG_5165,train,no,same split,yes,0.50456,0.39693,0.39693,5,no,IMG_5164_JPG.rf.ec216da11a32fdef87a9761de0eef7db.jpg,IMG_5165_JPG.rf.e3289ab0746d36fbc09467c0e499f1d7.jpg
5165,5166,IMG_5165,train,IMG_5166,train,no,same split,yes,0.33562,0.27739,0.27739,5,no,IMG_5165_JPG.rf.e3289ab0746d36fbc09467c0e499f1d7.jpg,IMG_5166_JPG.rf.6374714bd0285cb3ccfd260c380d81fe.jpg
5166,5167,IMG_5166,train,IMG_5167,train,no,same split,yes,0.37269,0.38978,0.37269,5,no,IMG_5166_JPG.rf.6374714bd0285cb3ccfd260c380d81fe.jpg,IMG_5167_JPG.rf.de6b8ab2331b6e88317b6b639b9e2bbc.jpg
5167,5168,IMG_5167,train,IMG_5168,train,no,same split,yes,0.05708,0.06894,0.05708,5,no,IMG_5167_JPG.rf.de6b8ab2331b6e88317b6b639b9e2bbc.jpg,IMG_5168_JPG.rf.7be42c62fa73efc59ea92437e3d5f72d.jpg
5168,5169,IMG_5168,train,IMG_5169,train,no,same split,yes,0.05813,0.05893,0.05813,5,no,IMG_5168_JPG.rf.7be42c62fa73efc59ea92437e3d5f72d.jpg,IMG_5169_JPG.rf.36ca91357ac845df357cb33b23b8b166.jpg
5169,5170,IMG_5169,train,IMG_5170,train,no,same split,yes,0.04947,0.04042,0.04042,5,no,IMG_5169_JPG.rf.36ca91357ac845df357cb33b23b8b166.jpg,IMG_5170_JPG.rf.146c40972f27b50656c4411cf1841a74.jpg
5170,5171,IMG_5170,train,IMG_5171,train,no,same split,yes,0.06784,0.04004,0.04004,5,no,IMG_5170_JPG.rf.146c40972f27b50656c4411cf1841a74.jpg,IMG_5171_JPG.rf.7a04702473741f9c9c974d882cf02736.jpg
5171,5172,IMG_5171,train,IMG_5172,train,no,same split,yes,0.07601,0.04843,0.04843,5,no,IMG_5171_JPG.rf.7a04702473741f9c9c974d882cf02736.jpg,IMG_5172_JPG.rf.495832ddd729287237e490c143b0647b.jpg
5172,5173,IMG_5172,train,IMG_5173,train,no,same split,yes,0.38339,0.28135,0.28135,5,no,IMG_5172_JPG.rf.495832ddd729287237e490c143b0647b.jpg,IMG_5173_JPG.rf.55c64025b2bdb8e208dd9e0797694e08.jpg
5173,5174,IMG_5173,train,IMG_5174,train,no,same split,yes,0.03461,0.02497,0.02497,5,no,IMG_5173_JPG.rf.55c64025b2bdb8e208dd9e0797694e08.jpg,IMG_5174_JPG.rf.47c095efd855cd27aec5354f8b8daf5b.jpg
5174,5175,IMG_5174,train,IMG_5175,train,no,same split,yes,0.11910,0.09782,0.09782,5,no,IMG_5174_JPG.rf.47c095efd855cd27aec5354f8b8daf5b.jpg,IMG_5175_JPG.rf.5f9681c4fb946a8db779b8e0758f4ddd.jpg
5175,5176,IMG_5175,train,IMG_5176,train,no,same split,yes,0.10939,0.11516,0.10939,5,no,IMG_5175_JPG.rf.5f9681c4fb946a8db779b8e0758f4ddd.jpg,IMG_5176_JPG.rf.fb545210fdd497091c9f088198b13ffc.jpg
5176,5177,IMG_5176,train,IMG_5177,train,no,same split,yes,0.08373,0.04816,0.04816,5,no,IMG_5176_JPG.rf.fb545210fdd497091c9f088198b13ffc.jpg,IMG_5177_JPG.rf.7013978690c37833cf224ef40d96e813.jpg
5177,5178,IMG_5177,train,IMG_5178,train,no,same split,yes,0.29750,0.25425,0.25425,5,no,IMG_5177_JPG.rf.7013978690c37833cf224ef40d96e813.jpg,IMG_5178_JPG.rf.aac412d89dfed0ac188ee9ba6b7bebb4.jpg
5178,5179,IMG_5178,train,IMG_5179,train,no,same split,yes,0.29092,0.22135,0.22135,5,no,IMG_5178_JPG.rf.aac412d89dfed0ac188ee9ba6b7bebb4.jpg,IMG_5179_JPG.rf.3de6730e392e2c40de134ba26eaa3bff.jpg
5179,5180,IMG_5179,train,IMG_5180,train,no,same split,yes,0.23185,0.11463,0.11463,5,no,IMG_5179_JPG.rf.3de6730e392e2c40de134ba26eaa3bff.jpg,IMG_5180_JPG.rf.be3ca3330b76c5dcc106a49b88e1a3c4.jpg
5180,5181,IMG_5180,train,IMG_5181,train,no,same split,yes,0.10106,0.09128,0.09128,5,no,IMG_5180_JPG.rf.be3ca3330b76c5dcc106a49b88e1a3c4.jpg,IMG_5181_JPG.rf.a3737358d849eb693cdf7fc4219ee098.jpg
5181,5182,IMG_5181,train,IMG_5182,train,no,same split,yes,0.48044,0.45811,0.45811,5,no,IMG_5181_JPG.rf.a3737358d849eb693cdf7fc4219ee098.jpg,IMG_5182_JPG.rf.c74000a72b5338d628cac3a864f993be.jpg
5182,5183,IMG_5182,train,IMG_5183,train,no,same split,yes,0.10957,0.06332,0.06332,5,no,IMG_5182_JPG.rf.c74000a72b5338d628cac3a864f993be.jpg,IMG_5183_JPG.rf.9f02afe4b6b13bb41fe86e585e08ae02.jpg
5183,5184,IMG_5183,train,IMG_5184,train,no,same split,yes,0.13923,0.15641,0.13923,5,no,IMG_5183_JPG.rf.9f02afe4b6b13bb41fe86e585e08ae02.jpg,IMG_5184_JPG.rf.cf946f6e7b187e017c074c89c5fcba90.jpg
5184,5185,IMG_5184,train,IMG_5185,train,no,same split,yes,0.05271,0.00863,0.00863,5,no,IMG_5184_JPG.rf.cf946f6e7b187e017c074c89c5fcba90.jpg,IMG_5185_JPG.rf.6815cd7b86bef9e7acbddf4c14188fe1.jpg
5185,5186,IMG_5185,train,IMG_5186,train,no,same split,yes,0.29395,0.24243,0.24243,5,no,IMG_5185_JPG.rf.6815cd7b86bef9e7acbddf4c14188fe1.jpg,IMG_5186_JPG.rf.2c8b6a8173d5a1578fb10aa3c0f1f1ce.jpg
5186,5187,IMG_5186,train,IMG_5187,train,no,same split,yes,0.21751,0.10693,0.10693,5,no,IMG_5186_JPG.rf.2c8b6a8173d5a1578fb10aa3c0f1f1ce.jpg,IMG_5187_JPG.rf.82497b7ffd5cac14d486c871a05907dd.jpg
5187,5188,IMG_5187,train,IMG_5188,train,no,same split,yes,0.17735,0.13362,0.13362,5,no,IMG_5187_JPG.rf.82497b7ffd5cac14d486c871a05907dd.jpg,IMG_5188_JPG.rf.a1180603ce7a11b5d09fb7e3c5f2261a.jpg
5188,5189,IMG_5188,train,IMG_5189,valid,yes,valid<->train,yes,0.42819,0.40062,0.40062,5,no,IMG_5188_JPG.rf.a1180603ce7a11b5d09fb7e3c5f2261a.jpg,IMG_5189_JPG.rf.3be7e6a5fd6bdbaf3b104f8e287d0aac.jpg
5189,5190,IMG_5189,valid,IMG_5190,train,yes,valid<->train,yes,0.10221,0.05084,0.05084,5,no,IMG_5189_JPG.rf.3be7e6a5fd6bdbaf3b104f8e287d0aac.jpg,IMG_5190_JPG.rf.4df88492a270fcf3b59245b4a5e98c1a.jpg
5190,5191,IMG_5190,train,IMG_5191,train,no,same split,yes,0.63395,0.58599,0.58599,5,no,IMG_5190_JPG.rf.4df88492a270fcf3b59245b4a5e98c1a.jpg,IMG_5191_JPG.rf.1a39096908f5a72d1fca85f202fb6585.jpg
5191,5192,IMG_5191,train,IMG_5192,train,no,same split,yes,0.09967,0.06181,0.06181,5,no,IMG_5191_JPG.rf.1a39096908f5a72d1fca85f202fb6585.jpg,IMG_5192_JPG.rf.fb1be90fa8b5de0ba440de44cd746be7.jpg
5192,5193,IMG_5192,train,IMG_5193,train,no,same split,yes,0.47678,0.41686,0.41686,5,no,IMG_5192_JPG.rf.fb1be90fa8b5de0ba440de44cd746be7.jpg,IMG_5193_JPG.rf.560079c7725d3f0d551936679bdd77d8.jpg
5193,5194,IMG_5193,train,IMG_5194,train,no,same split,yes,0.11111,0.03846,0.03846,5,no,IMG_5193_JPG.rf.560079c7725d3f0d551936679bdd77d8.jpg,IMG_5194_JPG.rf.38f004bcc0e5d7eadb99bdb1bbf9022b.jpg
5194,5195,IMG_5194,train,IMG_5195,train,no,same split,yes,0.19168,0.16768,0.16768,5,no,IMG_5194_JPG.rf.38f004bcc0e5d7eadb99bdb1bbf9022b.jpg,IMG_5195_JPG.rf.578b7d65e04aa025322687d6dda5c0bd.jpg
5195,5196,IMG_5195,train,IMG_5196,train,no,same split,yes,0.08924,0.06704,0.06704,5,no,IMG_5195_JPG.rf.578b7d65e04aa025322687d6dda5c0bd.jpg,IMG_5196_JPG.rf.6740999b4981e1376b84266f98799baf.jpg
5196,5197,IMG_5196,train,IMG_5197,train,no,same split,yes,0.23835,0.18204,0.18204,5,no,IMG_5196_JPG.rf.6740999b4981e1376b84266f98799baf.jpg,IMG_5197_JPG.rf.5e5e4b25c3c2a88a31a10500333b328a.jpg
5197,5198,IMG_5197,train,IMG_5198,train,no,same split,yes,0.43438,0.37946,0.37946,5,no,IMG_5197_JPG.rf.5e5e4b25c3c2a88a31a10500333b328a.jpg,IMG_5198_JPG.rf.623ca56df7bf3efd28ccff4eaa51a223.jpg
5198,5199,IMG_5198,train,IMG_5199,train,no,same split,yes,0.16446,0.12738,0.12738,5,no,IMG_5198_JPG.rf.623ca56df7bf3efd28ccff4eaa51a223.jpg,IMG_5199_JPG.rf.fbbd938396fadfbad573a08eb31e92c9.jpg
5209,5210,IMG_5209,train,IMG_5210,train,no,same split,yes,0.36071,0.40721,0.36071,6,no,IMG_5209_JPG.rf.e5f574782d86b9657616c6e052eb0884.jpg,IMG_5210_JPG.rf.4e50d31c5f79d54e39ad7aae6fe5fcff.jpg
5210,5211,IMG_5210,train,IMG_5211,train,no,same split,no,,,,6,no,IMG_5210_JPG.rf.4e50d31c5f79d54e39ad7aae6fe5fcff.jpg,IMG_5211_JPG.rf.e9fb6e03aa5ba8afbdaf2c05325e31c3.jpg
5211,5212,IMG_5211,train,IMG_5212,train,no,same split,no,,,,6,no,IMG_5211_JPG.rf.e9fb6e03aa5ba8afbdaf2c05325e31c3.jpg,IMG_5212_JPG.rf.eaf2ccac8d35a331c041021d4c71c269.jpg
5212,5213,IMG_5212,train,IMG_5213,train,no,same split,yes,0.56985,0.51486,0.51486,6,no,IMG_5212_JPG.rf.eaf2ccac8d35a331c041021d4c71c269.jpg,IMG_5213_JPG.rf.6014d86fa95cc94ea680b85fa6ae6df4.jpg
5213,5214,IMG_5213,train,IMG_5214,train,no,same split,yes,0.28734,0.42004,0.28734,6,no,IMG_5213_JPG.rf.6014d86fa95cc94ea680b85fa6ae6df4.jpg,IMG_5214_JPG.rf.146cd8e1d89389243f4da290496655cc.jpg
5214,5215,IMG_5214,train,IMG_5215,valid,yes,valid<->train,yes,0.26846,0.26820,0.26820,6,no,IMG_5214_JPG.rf.146cd8e1d89389243f4da290496655cc.jpg,IMG_5215_JPG.rf.dbb3c6388a1dd241907385fcea654526.jpg
5215,5216,IMG_5215,valid,IMG_5216,train,yes,valid<->train,yes,0.09766,0.06973,0.06973,6,no,IMG_5215_JPG.rf.dbb3c6388a1dd241907385fcea654526.jpg,IMG_5216_JPG.rf.d9189442751b1a1c3db9bd5514ddfe6f.jpg
5216,5217,IMG_5216,train,IMG_5217,train,no,same split,yes,0.54131,0.59976,0.54131,6,no,IMG_5216_JPG.rf.d9189442751b1a1c3db9bd5514ddfe6f.jpg,IMG_5217_JPG.rf.b6bd0e24328d4f3979e557cde1a63f91.jpg
5217,5218,IMG_5217,train,IMG_5218,train,no,same split,yes,0.14310,0.05375,0.05375,6,no,IMG_5217_JPG.rf.b6bd0e24328d4f3979e557cde1a63f91.jpg,IMG_5218_JPG.rf.14f67ca4e33e37b9131ed9d62cbde835.jpg
5218,5219,IMG_5218,train,IMG_5219,train,no,same split,yes,0.43375,0.51115,0.43375,6,no,IMG_5218_JPG.rf.14f67ca4e33e37b9131ed9d62cbde835.jpg,IMG_5219_JPG.rf.1573006ee4fbfd9541cea2932ca89196.jpg
5219,5220,IMG_5219,train,IMG_5220,train,no,same split,yes,0.11405,0.09738,0.09738,6,no,IMG_5219_JPG.rf.1573006ee4fbfd9541cea2932ca89196.jpg,IMG_5220_JPG.rf.7d568683351f6b46ac37bc20e91cb40a.jpg
5220,5221,IMG_5220,train,IMG_5221,train,no,same split,yes,0.52969,0.50238,0.50238,6,no,IMG_5220_JPG.rf.7d568683351f6b46ac37bc20e91cb40a.jpg,IMG_5221_JPG.rf.88fab5b795ad99ada09d949623a4c19d.jpg
5221,5222,IMG_5221,train,IMG_5222,train,no,same split,yes,0.38163,0.34017,0.34017,6,no,IMG_5221_JPG.rf.88fab5b795ad99ada09d949623a4c19d.jpg,IMG_5222_JPG.rf.ac4b35408000dfe0ba772664cd9d2c92.jpg
5222,5223,IMG_5222,train,IMG_5223,train,no,same split,yes,0.09506,0.05721,0.05721,6,no,IMG_5222_JPG.rf.ac4b35408000dfe0ba772664cd9d2c92.jpg,IMG_5223_JPG.rf.826d26fabc239f421efbb7a0b4c3699f.jpg
5223,5224,IMG_5223,train,IMG_5224,train,no,same split,yes,0.10454,0.09491,0.09491,6,no,IMG_5223_JPG.rf.826d26fabc239f421efbb7a0b4c3699f.jpg,IMG_5224_JPG.rf.7ff54ec36056166b85dada7f7129a440.jpg
5224,5225,IMG_5224,train,IMG_5225,train,no,same split,yes,0.06113,0.04047,0.04047,6,no,IMG_5224_JPG.rf.7ff54ec36056166b85dada7f7129a440.jpg,IMG_5225_JPG.rf.c54e322448081020d981f84185d01927.jpg
5225,5226,IMG_5225,train,IMG_5226,train,no,same split,yes,0.06219,0.04267,0.04267,6,no,IMG_5225_JPG.rf.c54e322448081020d981f84185d01927.jpg,IMG_5226_JPG.rf.7a34f49f951e96c6b4abda80f98b1fd4.jpg
5226,5227,IMG_5226,train,IMG_5227,train,no,same split,yes,0.47718,0.70879,0.47718,6,no,IMG_5226_JPG.rf.7a34f49f951e96c6b4abda80f98b1fd4.jpg,IMG_5227_JPG.rf.0e946a6bddc86d41eb8182063043eba0.jpg
5227,5228,IMG_5227,train,IMG_5228,train,no,same split,yes,0.13326,0.11464,0.11464,6,no,IMG_5227_JPG.rf.0e946a6bddc86d41eb8182063043eba0.jpg,IMG_5228_JPG.rf.f04c4a376fd4fa45edc28dc78f9cf5cc.jpg
5228,5229,IMG_5228,train,IMG_5229,train,no,same split,yes,0.50934,0.32835,0.32835,6,no,IMG_5228_JPG.rf.f04c4a376fd4fa45edc28dc78f9cf5cc.jpg,IMG_5229_JPG.rf.01188484868100d3d71f1788fac46fb9.jpg
5229,5230,IMG_5229,train,IMG_5230,train,no,same split,yes,0.48132,0.39660,0.39660,6,no,IMG_5229_JPG.rf.01188484868100d3d71f1788fac46fb9.jpg,IMG_5230_JPG.rf.5a3293c9f9cf899429fad166b0c9524f.jpg
5230,5231,IMG_5230,train,IMG_5231,train,no,same split,yes,0.07668,0.04995,0.04995,6,no,IMG_5230_JPG.rf.5a3293c9f9cf899429fad166b0c9524f.jpg,IMG_5231_JPG.rf.d95c9cafc2846edfc0e6919f54fbdee6.jpg
5231,5232,IMG_5231,train,IMG_5232,train,no,same split,yes,0.05347,0.04468,0.04468,6,no,IMG_5231_JPG.rf.d95c9cafc2846edfc0e6919f54fbdee6.jpg,IMG_5232_JPG.rf.54189b62b82327210f123d942a9bbb4e.jpg
5232,5233,IMG_5232,train,IMG_5233,train,no,same split,no,,,,7,no,IMG_5232_JPG.rf.54189b62b82327210f123d942a9bbb4e.jpg,IMG_5233_JPG.rf.c4e1b8a7f1d82c708d5fd8359a7bb0df.jpg
5233,5234,IMG_5233,train,IMG_5234,valid,yes,valid<->train,no,,,,8,no,IMG_5233_JPG.rf.c4e1b8a7f1d82c708d5fd8359a7bb0df.jpg,IMG_5234_JPG.rf.093285451b292e97f2e698a0ce4a3eae.jpg
5234,5235,IMG_5234,valid,IMG_5235,train,yes,valid<->train,no,,,,9,no,IMG_5234_JPG.rf.093285451b292e97f2e698a0ce4a3eae.jpg,IMG_5235_JPG.rf.50c015537d9d6f15909ae0527c2b9b95.jpg
5235,5236,IMG_5235,train,IMG_5236,train,no,same split,yes,0.08396,0.05767,0.05767,9,no,IMG_5235_JPG.rf.50c015537d9d6f15909ae0527c2b9b95.jpg,IMG_5236_JPG.rf.066ffadeaa7627359a8a8aca3ac4fd7e.jpg
5236,5237,IMG_5236,train,IMG_5237,train,no,same split,yes,0.14864,0.09636,0.09636,9,no,IMG_5236_JPG.rf.066ffadeaa7627359a8a8aca3ac4fd7e.jpg,IMG_5237_JPG.rf.260134828f51eb7a48ed824f87e96154.jpg
5237,5238,IMG_5237,train,IMG_5238,train,no,same split,yes,0.13148,0.05108,0.05108,9,no,IMG_5237_JPG.rf.260134828f51eb7a48ed824f87e96154.jpg,IMG_5238_JPG.rf.87a481db9b6df2a7877527d61f3ed18a.jpg
5238,5239,IMG_5238,train,IMG_5239,train,no,same split,yes,0.14856,0.06197,0.06197,9,no,IMG_5238_JPG.rf.87a481db9b6df2a7877527d61f3ed18a.jpg,IMG_5239_JPG.rf.987779fd15f8818d0020bfcb5f44a1d5.jpg
5239,5240,IMG_5239,train,IMG_5240,train,no,same split,yes,0.37796,0.41745,0.37796,9,no,IMG_5239_JPG.rf.987779fd15f8818d0020bfcb5f44a1d5.jpg,IMG_5240_JPG.rf.d2bb945db15ca2d0b924f256911c5bca.jpg
5240,5241,IMG_5240,train,IMG_5241,valid,yes,valid<->train,yes,0.38963,0.35396,0.35396,9,no,IMG_5240_JPG.rf.d2bb945db15ca2d0b924f256911c5bca.jpg,IMG_5241_JPG.rf.6d24f3d13eefa941b85b3a9241e894dc.jpg
