gap_seconds,device_key,stem_a,split_a,stem_b,split_b
4,FAMILY:ts_underscore,IMG_20240228_133006,valid,IMG_20240228_133010,train
4,FAMILY:ts_underscore,IMG_20240228_133205,train,IMG_20240228_133209,valid
4,FAMILY:ts_underscore,IMG_20240303_105748,valid,IMG_20240303_105752,train
4,FAMILY:ts_underscore,IMG_20240303_105951,valid,IMG_20240303_105955,train
4,FAMILY:ts_underscore,IMG_20240303_110004,valid,IMG_20240303_110008,train
4,FAMILY:ts_underscore,IMG_20240303_110245,test,IMG_20240303_110249,train
4,FAMILY:ts_underscore,IMG_20240303_110341,train,IMG_20240303_110345,valid
4,FAMILY:ts_underscore,IMG_20240303_110417,test,IMG_20240303_110421,train
4,FAMILY:ts_underscore,IMG_20240303_111150,train,IMG_20240303_111154,test
4,FAMILY:ts_underscore,IMG_20240303_111444,train,IMG_20240303_111448,valid
4,FAMILY:ts_underscore,IMG_20240303_111507,test,IMG_20240303_111511,valid
4,FAMILY:ts_underscore,IMG_20240303_111515,valid,IMG_20240303_111519,test
4,FAMILY:ts_underscore,IMG_20240303_111531,train,IMG_20240303_111535,test
4,FAMILY:ts_underscore,IMG_20240303_111548,train,IMG_20240303_111552,test
4,FAMILY:ts_underscore,IMG_20240306_115820,train,IMG_20240306_115824,valid
4,FAMILY:ts_underscore,IMG_20240306_115849,valid,IMG_20240306_115853,train
4,FAMILY:ts_underscore,IMG_20240306_120259,test,IMG_20240306_120303,train
4,FAMILY:ts_underscore,IMG_20240306_120329,valid,IMG_20240306_120333,train
4,FAMILY:ts_underscore,IMG_20240306_120644,valid,IMG_20240306_120648,test
4,FAMILY:ts_underscore,IMG_20240306_121000,train,IMG_20240306_121004,test
4,FAMILY:ts_underscore,IMG_20240306_143409,valid,IMG_20240306_143413,train
4,FAMILY:ts_underscore,IMG_20240306_143418,train,IMG_20240306_143422,valid
4,FAMILY:ts_underscore,IMG_20240306_143704,train,IMG_20240306_143708,valid
4,FAMILY:ts_underscore,IMG_20240306_143733,train,IMG_20240306_143737,valid
4,FAMILY:ts_underscore,IMG_20240306_144142,valid,IMG_20240306_144146,test
4,FAMILY:ts_underscore,IMG_20240306_144150,test,IMG_20240306_144154,valid
4,FAMILY:ts_underscore,IMG_20240309_112841,test,IMG_20240309_112845,train
4,FAMILY:ts_underscore,IMG_20240309_113050,train,IMG_20240309_113054,test
4,FAMILY:ts_underscore,IMG_20240309_113356,test,IMG_20240309_113400,train
4,FAMILY:ts_underscore,IMG_20240309_113400,train,IMG_20240309_113404,valid
4,FAMILY:ts_underscore,IMG_20240309_113523,train,IMG_20240309_113527,valid
4,FAMILY:ts_underscore,IMG_20240309_113723,test,IMG_20240309_113727,train
4,FAMILY:ts_underscore,IMG_20240309_114056,valid,IMG_20240309_114100,train
4,FAMILY:ts_underscore,IMG_20240309_114244,train,IMG_20240309_114248,valid
4,FAMILY:ts_underscore,IMG_20240309_114538,train,IMG_20240309_114542,valid
4,FAMILY:ts_underscore,IMG_20240309_114613,train,IMG_20240309_114617,valid
4,FAMILY:ts_underscore,IMG_20240309_114950,valid,IMG_20240309_114954,train
4,FAMILY:ts_underscore,IMG_20240309_115140,train,IMG_20240309_115144,test
4,FAMILY:ts_underscore,IMG_20240309_115200,valid,IMG_20240309_115204,train
4,FAMILY:ts_underscore,IMG_20240309_115518,valid,IMG_20240309_115522,train
4,FAMILY:ts_underscore,IMG_20240309_115633,train,IMG_20240309_115637,test
4,FAMILY:ts_underscore,IMG_20240309_115752,train,IMG_20240309_115756,test
4,FAMILY:ts_underscore,IMG_20240309_115840,test,IMG_20240309_115844,train
4,FAMILY:ts_underscore,IMG_20240309_115958,test,IMG_20240309_120002,train
4,FAMILY:ts_underscore,IMG_20240309_120210,test,IMG_20240309_120214,train
4,FAMILY:ts_underscore,IMG_20240417_115133,train,IMG_20240417_115137,valid
4,FAMILY:ts_underscore,IMG_20240417_115920,train,IMG_20240417_115924,valid
5,FAMILY:ts_compact,IMG20240228124440,valid,IMG20240228124445,train
5,FAMILY:ts_compact,IMG20240228130036,valid,IMG20240228130041,test
5,FAMILY:ts_compact,IMG20240303110322,valid,IMG20240303110327,test
5,FAMILY:ts_compact,IMG20240303111124,test,IMG20240303111129,valid
5,FAMILY:ts_compact,IMG20240303111610,valid,IMG20240303111615,test
5,FAMILY:ts_compact,IMG20240303111914,valid,IMG20240303111919,test
5,FAMILY:ts_compact,IMG20240306120018,train,IMG20240306120023,valid
5,FAMILY:ts_compact,IMG20240306143404,valid,IMG20240306143409,train
5,FAMILY:ts_compact,IMG20240306143708,train,IMG20240306143713,test
5,FAMILY:ts_compact,IMG20240306143952,train,IMG20240306143957,valid
5,FAMILY:ts_compact,IMG20240306144056,train,IMG20240306144101,valid
5,FAMILY:ts_compact,IMG20240306144306,valid,IMG20240306144311,test
5,FAMILY:ts_compact,IMG20240309112450,train,IMG20240309112455,valid
5,FAMILY:ts_compact,IMG20240309112658,train,IMG20240309112703,test
5,FAMILY:ts_compact,IMG20240309113221,valid,IMG20240309113226,train
5,FAMILY:ts_compact,IMG20240309113703,valid,IMG20240309113708,train
5,FAMILY:ts_compact,IMG20240309114642,valid,IMG20240309114647,train
5,FAMILY:ts_compact,IMG20240309120534,train,IMG20240309120539,valid
5,FAMILY:ts_underscore,IMG_20240219_115215,test,IMG_20240219_115220,train
5,FAMILY:ts_underscore,IMG_20240220_131426,test,IMG_20240220_131431,train
5,FAMILY:ts_underscore,IMG_20240228_123002,valid,IMG_20240228_123007,test
5,FAMILY:ts_underscore,IMG_20240228_123516,valid,IMG_20240228_123521,test
5,FAMILY:ts_underscore,IMG_20240228_141438,valid,IMG_20240228_141443,train
5,FAMILY:ts_underscore,IMG_20240228_141443,train,IMG_20240228_141448,valid
5,FAMILY:ts_underscore,IMG_20240303_105959,train,IMG_20240303_110004,valid
5,FAMILY:ts_underscore,IMG_20240303_110518,train,IMG_20240303_110523,valid
5,FAMILY:ts_underscore,IMG_20240303_111239,valid,IMG_20240303_111244,train
5,FAMILY:ts_underscore,IMG_20240303_111439,test,IMG_20240303_111444,train
5,FAMILY:ts_underscore,IMG_20240303_111543,test,IMG_20240303_111548,train
5,FAMILY:ts_underscore,IMG_20240306_120238,valid,IMG_20240306_120243,train
5,FAMILY:ts_underscore,IMG_20240306_120418,valid,IMG_20240306_120423,train
5,FAMILY:ts_underscore,IMG_20240306_143708,valid,IMG_20240306_143713,train
5,FAMILY:ts_underscore,IMG_20240306_143737,valid,IMG_20240306_143742,test
5,FAMILY:ts_underscore,IMG_20240306_143955,train,IMG_20240306_144000,valid
5,FAMILY:ts_underscore,IMG_20240306_144210,train,IMG_20240306_144215,test
5,FAMILY:ts_underscore,IMG_20240309_112457,train,IMG_20240309_112502,valid
5,FAMILY:ts_underscore,IMG_20240309_112554,valid,IMG_20240309_112559,train
5,FAMILY:ts_underscore,IMG_20240309_112836,train,IMG_20240309_112841,test
5,FAMILY:ts_underscore,IMG_20240309_112929,train,IMG_20240309_112934,test
5,FAMILY:ts_underscore,IMG_20240309_113550,test,IMG_20240309_113555,train
5,FAMILY:ts_underscore,IMG_20240309_114638,train,IMG_20240309_114643,valid
5,FAMILY:ts_underscore,IMG_20240309_114741,test,IMG_20240309_114746,train
5,FAMILY:ts_underscore,IMG_20240309_115718,valid,IMG_20240309_115723,train
5,FAMILY:ts_underscore,IMG_20240309_115723,train,IMG_20240309_115728,valid
5,FAMILY:ts_underscore,IMG_20240309_115835,valid,IMG_20240309_115840,test
5,FAMILY:ts_underscore,IMG_20240309_115910,train,IMG_20240309_115915,valid
5,FAMILY:ts_underscore,IMG_20240309_120205,train,IMG_20240309_120210,test
6,FAMILY:ts_compact,IMG20240220115305,train,IMG20240220115311,valid
6,FAMILY:ts_compact,IMG20240228125746,test,IMG20240228125752,valid
6,FAMILY:ts_compact,IMG20240228131414,train,IMG20240228131420,valid
6,FAMILY:ts_compact,IMG20240228142129,train,IMG20240228142135,test
6,FAMILY:ts_compact,IMG20240303110007,test,IMG20240303110013,valid
6,FAMILY:ts_compact,IMG20240303111639,valid,IMG20240303111645,test
6,FAMILY:ts_compact,IMG20240303111923,valid,IMG20240303111929,test
6,FAMILY:ts_compact,IMG20240306115356,train,IMG20240306115402,valid
6,FAMILY:ts_compact,IMG20240306120959,train,IMG20240306121005,valid
6,FAMILY:ts_compact,IMG20240306143832,train,IMG20240306143838,valid
6,FAMILY:ts_compact,IMG20240309112646,train,IMG20240309112652,valid
6,FAMILY:ts_compact,IMG20240309112652,valid,IMG20240309112658,train
6,FAMILY:ts_compact,IMG20240309113411,train,IMG20240309113417,test
6,FAMILY:ts_compact,IMG20240309113452,train,IMG20240309113458,valid
6,FAMILY:ts_compact,IMG20240309113622,test,IMG20240309113628,train
6,FAMILY:ts_compact,IMG20240309114636,train,IMG20240309114642,valid
6,FAMILY:ts_compact,IMG20240309115204,test,IMG20240309115210,train
6,FAMILY:ts_underscore,IMG_20240220_114159,test,IMG_20240220_114205,train
6,FAMILY:ts_underscore,IMG_20240220_114312,train,IMG_20240220_114318,valid
6,FAMILY:ts_underscore,IMG_20240220_115903,train,IMG_20240220_115909,test
6,FAMILY:ts_underscore,IMG_20240220_121506,train,IMG_20240220_121512,valid
6,FAMILY:ts_underscore,IMG_20240220_135229,test,IMG_20240220_135235,train
6,FAMILY:ts_underscore,IMG_20240228_122853,test,IMG_20240228_122859,valid
6,FAMILY:ts_underscore,IMG_20240228_131524,valid,IMG_20240228_131530,train
6,FAMILY:ts_underscore,IMG_20240228_131530,train,IMG_20240228_131536,valid
6,FAMILY:ts_underscore,IMG_20240228_133000,train,IMG_20240228_133006,valid
6,FAMILY:ts_underscore,IMG_20240303_105837,test,IMG_20240303_105843,valid
6,FAMILY:ts_underscore,IMG_20240303_105902,valid,IMG_20240303_105908,train
6,FAMILY:ts_underscore,IMG_20240303_105932,train,IMG_20240303_105938,valid
6,FAMILY:ts_underscore,IMG_20240303_110048,test,IMG_20240303_110054,train
6,FAMILY:ts_underscore,IMG_20240303_110239,train,IMG_20240303_110245,test
6,FAMILY:ts_underscore,IMG_20240303_110335,test,IMG_20240303_110341,train
6,FAMILY:ts_underscore,IMG_20240303_111327,test,IMG_20240303_111333,train
6,FAMILY:ts_underscore,IMG_20240306_120801,valid,IMG_20240306_120807,test
6,FAMILY:ts_underscore,IMG_20240306_120857,valid,IMG_20240306_120903,train
6,FAMILY:ts_underscore,IMG_20240306_143830,valid,IMG_20240306_143836,train
6,FAMILY:ts_underscore,IMG_20240306_144136,train,IMG_20240306_144142,valid
6,FAMILY:ts_underscore,IMG_20240309_112651,train,IMG_20240309_112657,test
6,FAMILY:ts_underscore,IMG_20240309_112657,test,IMG_20240309_112703,train
6,FAMILY:ts_underscore,IMG_20240309_113632,valid,IMG_20240309_113638,train
6,FAMILY:ts_underscore,IMG_20240309_113711,test,IMG_20240309_113717,train
6,FAMILY:ts_underscore,IMG_20240309_113717,train,IMG_20240309_113723,test
6,FAMILY:ts_underscore,IMG_20240309_114215,train,IMG_20240309_114221,valid
6,FAMILY:ts_underscore,IMG_20240309_114643,valid,IMG_20240309_114649,train
6,FAMILY:ts_underscore,IMG_20240309_115610,train,IMG_20240309_115616,valid
6,FAMILY:ts_underscore,IMG_20240309_115728,valid,IMG_20240309_115734,train
6,FAMILY:ts_underscore,IMG_20240309_115756,test,IMG_20240309_115802,train
6,FAMILY:ts_underscore,IMG_20240309_115952,valid,IMG_20240309_115958,test
6,FAMILY:ts_underscore,IMG_20240309_120223,valid,IMG_20240309_120229,train
6,FAMILY:ts_underscore,IMG_20240309_120258,valid,IMG_20240309_120304,train
6,FAMILY:ts_underscore,IMG_20240417_115357,train,IMG_20240417_115403,test
6,FAMILY:ts_underscore,IMG_20240417_115403,test,IMG_20240417_115409,train
7,FAMILY:ts_compact,IMG20240220135414,test,IMG20240220135421,train
7,FAMILY:ts_compact,IMG20240228125647,train,IMG20240228125654,test
7,FAMILY:ts_compact,IMG20240228131252,valid,IMG20240228131259,train
7,FAMILY:ts_compact,IMG20240228132725,valid,IMG20240228132732,test
7,FAMILY:ts_compact,IMG20240303105743,train,IMG20240303105750,test
7,FAMILY:ts_compact,IMG20240303110510,valid,IMG20240303110517,test
7,FAMILY:ts_compact,IMG20240303111006,test,IMG20240303111013,valid
7,FAMILY:ts_compact,IMG20240303111152,train,IMG20240303111159,test
7,FAMILY:ts_compact,IMG20240303111325,train,IMG20240303111332,test
7,FAMILY:ts_compact,IMG20240306120839,test,IMG20240306120846,train
7,FAMILY:ts_compact,IMG20240306143943,train,IMG20240306143950,test
7,FAMILY:ts_compact,IMG20240309112839,valid,IMG20240309112846,train
7,FAMILY:ts_compact,IMG20240309113458,valid,IMG20240309113505,train
7,FAMILY:ts_compact,IMG20240309113628,train,IMG20240309113635,valid
7,FAMILY:ts_compact,IMG20240309115805,train,IMG20240309115812,valid
7,FAMILY:ts_compact,IMG20240309120611,train,IMG20240309120618,valid
7,FAMILY:ts_compact,IMG20241118101929,valid,IMG20241118101936,train
7,FAMILY:ts_compact,IMG20241118160018,valid,IMG20241118160025,train
7,FAMILY:ts_underscore,IMG_20240220_135309,test,IMG_20240220_135316,train
7,FAMILY:ts_underscore,IMG_20240228_123921,train,IMG_20240228_123928,test
7,FAMILY:ts_underscore,IMG_20240228_130509,valid,IMG_20240228_130516,train
7,FAMILY:ts_underscore,IMG_20240228_132444,train,IMG_20240228_132451,valid
7,FAMILY:ts_underscore,IMG_20240228_132953,valid,IMG_20240228_133000,train
7,FAMILY:ts_underscore,IMG_20240228_133446,valid,IMG_20240228_133453,train
7,FAMILY:ts_underscore,IMG_20240228_140706,train,IMG_20240228_140713,valid
7,FAMILY:ts_underscore,IMG_20240228_141431,train,IMG_20240228_141438,valid
7,FAMILY:ts_underscore,IMG_20240303_110113,train,IMG_20240303_110120,valid
7,FAMILY:ts_underscore,IMG_20240303_111302,valid,IMG_20240303_111309,train
7,FAMILY:ts_underscore,IMG_20240306_115248,valid,IMG_20240306_115255,train
7,FAMILY:ts_underscore,IMG_20240306_115909,train,IMG_20240306_115916,valid
7,FAMILY:ts_underscore,IMG_20240306_120433,test,IMG_20240306_120440,train
7,FAMILY:ts_underscore,IMG_20240306_120648,test,IMG_20240306_120655,train
7,FAMILY:ts_underscore,IMG_20240306_120745,train,IMG_20240306_120752,test
7,FAMILY:ts_underscore,IMG_20240309_112502,valid,IMG_20240309_112509,train
7,FAMILY:ts_underscore,IMG_20240309_112934,test,IMG_20240309_112941,train
7,FAMILY:ts_underscore,IMG_20240309_113600,train,IMG_20240309_113607,valid
7,FAMILY:ts_underscore,IMG_20240309_113625,test,IMG_20240309_113632,valid
7,FAMILY:ts_underscore,IMG_20240309_113816,train,IMG_20240309_113823,valid
7,FAMILY:ts_underscore,IMG_20240309_113834,test,IMG_20240309_113841,train
7,FAMILY:ts_underscore,IMG_20240309_115620,valid,IMG_20240309_115627,train
7,FAMILY:ts_underscore,IMG_20240309_115915,valid,IMG_20240309_115922,train
7,FAMILY:ts_underscore,IMG_20240417_115155,test,IMG_20240417_115202,train
7,FAMILY:ts_underscore,IMG_20240417_115554,valid,IMG_20240417_115601,train
8,FAMILY:ts_compact,IMG20240228130509,test,IMG20240228130517,valid
8,FAMILY:ts_compact,IMG20240303110406,test,IMG20240303110414,train
8,FAMILY:ts_compact,IMG20240303110414,train,IMG20240303110422,test
8,FAMILY:ts_compact,IMG20240303111042,test,IMG20240303111050,valid
8,FAMILY:ts_compact,IMG20240306120023,valid,IMG20240306120031,train
8,FAMILY:ts_compact,IMG20240306120717,train,IMG20240306120725,valid
8,FAMILY:ts_compact,IMG20240309115506,valid,IMG20240309115514,train
8,FAMILY:ts_compact,IMG20240309120418,train,IMG20240309120426,valid
8,FAMILY:ts_compact,IMG20240417115339,valid,IMG20240417115347,train
8,FAMILY:ts_compact,IMG20240417120332,train,IMG20240417120340,valid
8,FAMILY:ts_compact,IMG20241118161413,valid,IMG20241118161421,train
8,FAMILY:ts_compact,IMG20241118161624,train,IMG20241118161632,valid
8,FAMILY:ts_underscore,IMG_20240220_114318,valid,IMG_20240220_114326,train
8,FAMILY:ts_underscore,IMG_20240220_131958,train,IMG_20240220_132006,valid
8,FAMILY:ts_underscore,IMG_20240220_135221,train,IMG_20240220_135229,test
8,FAMILY:ts_underscore,IMG_20240228_122954,test,IMG_20240228_123002,valid
8,FAMILY:ts_underscore,IMG_20240228_123232,test,IMG_20240228_123240,valid
8,FAMILY:ts_underscore,IMG_20240228_123521,test,IMG_20240228_123529,train
8,FAMILY:ts_underscore,IMG_20240228_123641,train,IMG_20240228_123649,valid
8,FAMILY:ts_underscore,IMG_20240228_131821,train,IMG_20240228_131829,valid
8,FAMILY:ts_underscore,IMG_20240228_133010,train,IMG_20240228_133018,valid
8,FAMILY:ts_underscore,IMG_20240228_133039,valid,IMG_20240228_133047,train
8,FAMILY:ts_underscore,IMG_20240228_140547,valid,IMG_20240228_140555,train
8,FAMILY:ts_underscore,IMG_20240303_105731,train,IMG_20240303_105739,valid
8,FAMILY:ts_underscore,IMG_20240303_105829,train,IMG_20240303_105837,test
8,FAMILY:ts_underscore,IMG_20240303_105846,valid,IMG_20240303_105854,train
8,FAMILY:ts_underscore,IMG_20240303_105854,train,IMG_20240303_105902,valid
8,FAMILY:ts_underscore,IMG_20240303_111217,train,IMG_20240303_111225,test
8,FAMILY:ts_underscore,IMG_20240303_111418,train,IMG_20240303_111426,test
8,FAMILY:ts_underscore,IMG_20240303_111448,valid,IMG_20240303_111456,train
8,FAMILY:ts_underscore,IMG_20240306_143742,test,IMG_20240306_143750,train
8,FAMILY:ts_underscore,IMG_20240309_112559,train,IMG_20240309_112607,valid
8,FAMILY:ts_underscore,IMG_20240309_113617,train,IMG_20240309_113625,test
8,FAMILY:ts_underscore,IMG_20240309_114034,valid,IMG_20240309_114042,train
8,FAMILY:ts_underscore,IMG_20240309_114132,valid,IMG_20240309_114140,test
8,FAMILY:ts_underscore,IMG_20240417_115349,test,IMG_20240417_115357,train
9,FAMILY:ts_compact,IMG20240228130615,valid,IMG20240228130624,train
9,FAMILY:ts_compact,IMG20240303110327,test,IMG20240303110336,train
9,FAMILY:ts_compact,IMG20240306144012,train,IMG20240306144021,valid
9,FAMILY:ts_compact,IMG20240306144021,valid,IMG20240306144030,train
9,FAMILY:ts_compact,IMG20240309112703,test,IMG20240309112712,train
9,FAMILY:ts_compact,IMG20240309112739,train,IMG20240309112748,test
9,FAMILY:ts_compact,IMG20240309115949,valid,IMG20240309115958,train
9,FAMILY:ts_compact,IMG20240309120449,valid,IMG20240309120458,train
9,FAMILY:ts_underscore,IMG_20240220_131513,train,IMG_20240220_131522,valid
9,FAMILY:ts_underscore,IMG_20240220_134146,train,IMG_20240220_134155,test
9,FAMILY:ts_underscore,IMG_20240228_123822,test,IMG_20240228_123831,train
9,FAMILY:ts_underscore,IMG_20240228_124302,train,IMG_20240228_124311,valid
9,FAMILY:ts_underscore,IMG_20240228_125854,train,IMG_20240228_125903,valid
9,FAMILY:ts_underscore,IMG_20240228_130042,train,IMG_20240228_130051,valid
9,FAMILY:ts_underscore,IMG_20240228_133453,train,IMG_20240228_133502,valid
9,FAMILY:ts_underscore,IMG_20240228_135625,train,IMG_20240228_135634,valid
9,FAMILY:ts_underscore,IMG_20240228_135857,train,IMG_20240228_135906,valid
9,FAMILY:ts_underscore,IMG_20240303_105908,train,IMG_20240303_105917,valid
9,FAMILY:ts_underscore,IMG_20240303_110120,valid,IMG_20240303_110129,train
9,FAMILY:ts_underscore,IMG_20240303_111039,valid,IMG_20240303_111048,train
9,FAMILY:ts_underscore,IMG_20240303_111127,valid,IMG_20240303_111136,test
9,FAMILY:ts_underscore,IMG_20240306_120025,test,IMG_20240306_120034,train
9,FAMILY:ts_underscore,IMG_20240306_120752,test,IMG_20240306_120801,valid
9,FAMILY:ts_underscore,IMG_20240306_143648,test,IMG_20240306_143657,train
9,FAMILY:ts_underscore,IMG_20240309_113702,train,IMG_20240309_113711,test
9,FAMILY:ts_underscore,IMG_20240309_115939,train,IMG_20240309_115948,valid
9,FAMILY:ts_underscore,IMG_20240309_120214,train,IMG_20240309_120223,valid
9,FAMILY:ts_underscore,IMG_20240417_115033,valid,IMG_20240417_115042,test
10,FAMILY:ts_compact,IMG20240220134414,train,IMG20240220134424,valid
10,FAMILY:ts_compact,IMG20240220135303,valid,IMG20240220135313,train
10,FAMILY:ts_compact,IMG20240228133008,train,IMG20240228133018,test
10,FAMILY:ts_compact,IMG20240303111129,valid,IMG20240303111139,test
10,FAMILY:ts_compact,IMG20240303111248,train,IMG20240303111258,test
10,FAMILY:ts_compact,IMG20240309113505,train,IMG20240309113515,valid
10,FAMILY:ts_compact,IMG20240417115151,test,IMG20240417115201,train
10,FAMILY:ts_compact,IMG20240417120415,train,IMG20240417120425,valid
10,FAMILY:ts_compact,IMG20241118101616,valid,IMG20241118101626,train
10,FAMILY:ts_compact,IMG20241118161841,train,IMG20241118161851,valid
10,FAMILY:ts_underscore,IMG_20240228_123209,valid,IMG_20240228_123219,test
10,FAMILY:ts_underscore,IMG_20240228_124227,valid,IMG_20240228_124237,train
10,FAMILY:ts_underscore,IMG_20240228_124846,test,IMG_20240228_124856,train
10,FAMILY:ts_underscore,IMG_20240228_131348,valid,IMG_20240228_131358,train
10,FAMILY:ts_underscore,IMG_20240228_141129,valid,IMG_20240228_141139,train
10,FAMILY:ts_underscore,IMG_20240303_110025,train,IMG_20240303_110035,valid
10,FAMILY:ts_underscore,IMG_20240303_110229,valid,IMG_20240303_110239,train
10,FAMILY:ts_underscore,IMG_20240303_110854,train,IMG_20240303_110904,test
10,FAMILY:ts_underscore,IMG_20240303_110904,test,IMG_20240303_110914,valid
10,FAMILY:ts_underscore,IMG_20240306_120423,train,IMG_20240306_120433,test
10,FAMILY:ts_underscore,IMG_20240309_113607,valid,IMG_20240309_113617,train
10,FAMILY:ts_underscore,IMG_20240309_113956,train,IMG_20240309_114006,test
11,FAMILY:ts_compact,IMG20240220115659,test,IMG20240220115710,train
11,FAMILY:ts_compact,IMG20240228125654,test,IMG20240228125705,train
11,FAMILY:ts_compact,IMG20240228131832,valid,IMG20240228131843,train
11,FAMILY:ts_compact,IMG20240228132445,valid,IMG20240228132456,train
11,FAMILY:ts_compact,IMG20240303110129,test,IMG20240303110140,valid
11,FAMILY:ts_compact,IMG20240306143749,valid,IMG20240306143800,train
11,FAMILY:ts_compact,IMG20240309112459,test,IMG20240309112510,valid
11,FAMILY:ts_compact,IMG20240417120340,valid,IMG20240417120351,train
11,FAMILY:ts_underscore,IMG_20240220_115304,train,IMG_20240220_115315,test
11,FAMILY:ts_underscore,IMG_20240228_123051,valid,IMG_20240228_123102,test
11,FAMILY:ts_underscore,IMG_20240228_123505,test,IMG_20240228_123516,valid
11,FAMILY:ts_underscore,IMG_20240228_123649,valid,IMG_20240228_123700,train
11,FAMILY:ts_underscore,IMG_20240228_123733,test,IMG_20240228_123744,train
11,FAMILY:ts_underscore,IMG_20240228_132253,valid,IMG_20240228_132304,train
11,FAMILY:ts_underscore,IMG_20240303_111206,test,IMG_20240303_111217,train
11,FAMILY:ts_underscore,IMG_20240306_120248,train,IMG_20240306_120259,test
11,FAMILY:ts_underscore,IMG_20240309_113823,valid,IMG_20240309_113834,test
12,FAMILY:ts_compact,IMG20240220133619,train,IMG20240220133631,valid
12,FAMILY:ts_compact,IMG20240220135251,train,IMG20240220135303,valid
12,FAMILY:ts_compact,IMG20240306143817,valid,IMG20240306143829,train
12,FAMILY:ts_compact,IMG20240309113209,train,IMG20240309113221,valid
12,FAMILY:ts_compact,IMG20240309115335,test,IMG20240309115347,train
12,FAMILY:ts_compact,IMG20241118160725,train,IMG20241118160737,valid
