image_a,split_a,image_b,split_b,raw_max_centre_dist,aligned_max_centre_dist,low_information,involves_untimestamped,published_split_a,published_split_b
IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,train,IMG_20240228_140654_jpg.rf.cabcdd9bc01f8ee9ca42a0981bf19f2c.jpg,valid,0.02442,0.00000,yes,no,train,valid
IMG_20240228_125646_jpg.rf.d1439dbf42b633c3e6632829028cee68.jpg,train,IMG_20240228_140455_jpg.rf.d5c755c9ca632aeb790abd2671edc0ba.jpg,valid,0.07324,0.00000,yes,no,train,valid
IMG_20240303_105731_jpg.rf.4ce1a920962873ebf2fc74c6bd59c37a.jpg,train,IMG_20240303_105739_jpg.rf.6d0ad9b04abda5b55b3497b0b4753376.jpg,valid,0.02519,0.00000,yes,no,train,valid
IMG_20240303_105731_jpg.rf.4ce1a920962873ebf2fc74c6bd59c37a.jpg,train,IMG_20240303_105748_jpg.rf.34bac5379eb0d99c0ed6bd3534a2ef3b.jpg,valid,0.08200,0.00000,yes,no,train,valid
IMG_20240303_105739_jpg.rf.6d0ad9b04abda5b55b3497b0b4753376.jpg,valid,IMG_20240303_105752_jpg.rf.e048be36aa93df09f2778c733996c90c.jpg,train,0.04477,0.00000,yes,no,valid,train
IMG_20240303_105739_jpg.rf.6d0ad9b04abda5b55b3497b0b4753376.jpg,valid,IMG_20240303_105758_jpg.rf.a0f59ffbff834aa0564bc71c3daf0369.jpg,train,0.12596,0.00000,yes,no,valid,train
IMG_20240303_105748_jpg.rf.34bac5379eb0d99c0ed6bd3534a2ef3b.jpg,valid,IMG_20240303_105752_jpg.rf.e048be36aa93df09f2778c733996c90c.jpg,train,0.09938,0.00000,yes,no,valid,train
IMG_20240303_105748_jpg.rf.34bac5379eb0d99c0ed6bd3534a2ef3b.jpg,valid,IMG_20240303_105758_jpg.rf.a0f59ffbff834aa0564bc71c3daf0369.jpg,train,0.08714,0.00000,yes,no,valid,train
IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,train,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,0.02096,0.00000,yes,no,train,test
IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,train,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,0.07882,0.00000,yes,no,train,valid
IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,train,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,0.04033,0.00000,yes,no,train,valid
IMG_20240303_105811_jpg.rf.9637de39d89a63fe2fa92c1b4d2e70c0.jpg,train,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,0.17822,0.00000,yes,no,train,valid
IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,train,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,0.04756,0.00000,yes,no,train,test
IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,train,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,0.02413,0.00000,yes,no,train,valid
IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,train,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,0.03230,0.00000,yes,no,train,valid
IMG_20240303_105815_jpg.rf.c5f69dfbaa9148973bd770c932517496.jpg,train,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,0.19985,0.00000,yes,no,train,valid
IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,train,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,0.06686,0.00000,yes,no,train,test
IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,train,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,0.12335,0.00000,yes,no,train,valid
IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,train,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,0.08595,0.00000,yes,no,train,valid
IMG_20240303_105825_jpg.rf.43eaa8ca131496485eb97149330aba00.jpg,train,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,0.20133,0.00000,yes,no,train,valid
IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,train,IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,0.03249,0.00000,yes,no,train,test
IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,train,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,0.08212,0.00000,yes,no,train,valid
IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,train,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,0.04806,0.00000,yes,no,train,valid
IMG_20240303_105829_jpg.rf.782a4a5451bdf3e22c31a2f32e07117a.jpg,train,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,0.19810,0.00000,yes,no,train,valid
IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,0.05857,0.00000,yes,no,test,valid
IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,0.01953,0.00000,yes,no,test,valid
IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg,train,0.04963,0.00000,yes,no,test,train
IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,0.17262,0.00000,yes,no,test,valid
IMG_20240303_105837_jpg.rf.dcfb10a1266f64c59476df6c0983f005.jpg,test,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg,train,0.04381,0.00000,yes,no,test,train
IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg,train,0.08822,0.00000,yes,no,valid,train
IMG_20240303_105843_jpg.rf.c6762d5ff01ebc2e4ba1263666727269.jpg,valid,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg,train,0.08026,0.00000,yes,no,valid,train
IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg,train,0.05697,0.00000,yes,no,valid,train
IMG_20240303_105846_jpg.rf.661fb3206bf71c13d67c5a639c48cf56.jpg,valid,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg,train,0.05355,0.00000,yes,no,valid,train
IMG_20240303_105854_jpg.rf.47262e4ae6eae1fbdfc00e889ccb453e.jpg,train,IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,0.12497,0.00000,yes,no,train,valid
IMG_20240303_105902_jpg.rf.f8722e3308619614d660346908fa80f4.jpg,valid,IMG_20240303_105908_jpg.rf.12c4671f5a7f61e3a65c57a19a4d043b.jpg,train,0.21481,0.00000,yes,no,valid,train
IMG_20240303_105917_jpg.rf.c26f7dd899d391dd55308dbd8b545079.jpg,valid,IMG_20240303_105920_jpg.rf.b22b2c1acab74be76780c5a791ecc20d.jpg,train,0.07826,0.00000,yes,no,valid,train
IMG_20240303_105917_jpg.rf.c26f7dd899d391dd55308dbd8b545079.jpg,valid,IMG_20240303_105932_jpg.rf.77e21aa26fa6cd74964a6c916d760ab4.jpg,train,0.26872,0.00000,yes,no,valid,train
IMG_20240303_105920_jpg.rf.b22b2c1acab74be76780c5a791ecc20d.jpg,train,IMG_20240303_105938_jpg.rf.63f36563a8c9a7b6c364df55a07cdbd1.jpg,valid,0.09005,0.00000,yes,no,train,valid
IMG_20240303_105932_jpg.rf.77e21aa26fa6cd74964a6c916d760ab4.jpg,train,IMG_20240303_105938_jpg.rf.63f36563a8c9a7b6c364df55a07cdbd1.jpg,valid,0.28767,0.00000,yes,no,train,valid
IMG_20240309_113647_jpg.rf.55accb3638336a5ea81750415374189d.jpg,train,IMG_20240309_113711_jpg.rf.e1c8bf2d2753ea62b6e616601ad11c36.jpg,test,0.09957,0.00000,yes,no,train,test
IMG_20240309_113655_jpg.rf.7636c34b3078b0001bbd76206e286496.jpg,train,IMG_20240309_113711_jpg.rf.e1c8bf2d2753ea62b6e616601ad11c36.jpg,test,0.06414,0.00000,yes,no,train,test
IMG_20240309_113702_jpg.rf.674c367943d0468cf0c665b2b1c1811d.jpg,train,IMG_20240309_113711_jpg.rf.e1c8bf2d2753ea62b6e616601ad11c36.jpg,test,0.14218,0.00000,yes,no,train,test
IMG_20240309_113723_jpg.rf.5d516f6f4607c551267e6c6a9010308b.jpg,test,IMG_20240309_113727_jpg.rf.8e8417b8fd0d21f19321163c32bfdf5a.jpg,train,0.02975,0.00000,yes,no,test,train
IMG_20240309_113723_jpg.rf.5d516f6f4607c551267e6c6a9010308b.jpg,test,IMG_20240309_113733_jpg.rf.b3074f32adcd953deb2efda88a9bdbd2.jpg,train,0.12375,0.00000,yes,no,test,train
IMG_20240309_113936_jpg.rf.8556a8ed07ba2dd6f59575955bf96631.jpg,train,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg,test,0.09610,0.00000,yes,no,train,test
IMG_20240309_113942_jpg.rf.888103a7f32bc9c865895ab7f3288ce2.jpg,train,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg,test,0.06028,0.00000,yes,no,train,test
IMG_20240309_113949_jpg.rf.e91acd0635b2af130be6e42d96316386.jpg,train,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg,test,0.14062,0.00000,yes,no,train,test
IMG_20240309_113956_jpg.rf.1eb21e492fee493d09a9b9c45d82a8b0.jpg,train,IMG_20240309_114006_jpg.rf.32f5949abdc981aea653cd8408969268.jpg,test,0.10938,0.00000,yes,no,train,test
IMG_20240309_114034_jpg.rf.38246456c5fca33289fcad410e2ae17f.jpg,valid,IMG_20240309_114042_jpg.rf.8b8890fd9c2ce62c7de1f97bb5dedc6f.jpg,train,0.10323,0.00000,yes,no,valid,train
IMG_20240309_114034_jpg.rf.38246456c5fca33289fcad410e2ae17f.jpg,valid,IMG_20240309_114100_jpg.rf.ebfa33cec0c784f7bc348bc69a7f70d2.jpg,train,0.16301,0.00000,yes,no,valid,train
IMG_20240309_114034_jpg.rf.38246456c5fca33289fcad410e2ae17f.jpg,valid,IMG_20240309_114116_jpg.rf.0db03319b0f51bf9e208dbe3a6d140a0.jpg,train,0.13245,0.00000,yes,no,valid,train
IMG_20240309_114042_jpg.rf.8b8890fd9c2ce62c7de1f97bb5dedc6f.jpg,train,IMG_20240309_114056_jpg.rf.35cd21a2663fc9cf69845943cac165fe.jpg,valid,0.04474,0.00000,yes,no,train,valid
IMG_20240309_114056_jpg.rf.35cd21a2663fc9cf69845943cac165fe.jpg,valid,IMG_20240309_114100_jpg.rf.ebfa33cec0c784f7bc348bc69a7f70d2.jpg,train,0.16541,0.00000,yes,no,valid,train
IMG_20240309_114056_jpg.rf.35cd21a2663fc9cf69845943cac165fe.jpg,valid,IMG_20240309_114116_jpg.rf.0db03319b0f51bf9e208dbe3a6d140a0.jpg,train,0.07515,0.00000,yes,no,valid,train
IMG_20240309_114132_jpg.rf.000db46a040e59937f88753546b7da6a.jpg,valid,IMG_20240309_114140_jpg.rf.0e579a6297b46d4def2caf3e4235d9c4.jpg,test,0.07888,0.00000,yes,no,valid,test
IMG_20240309_114132_jpg.rf.000db46a040e59937f88753546b7da6a.jpg,valid,IMG_20240309_114142_jpg.rf.a3d771f18b7b8715c0755748ed74dcaf.jpg,train,0.13238,0.00000,yes,no,valid,train
IMG_20240309_114140_jpg.rf.0e579a6297b46d4def2caf3e4235d9c4.jpg,test,IMG_20240309_114142_jpg.rf.a3d771f18b7b8715c0755748ed74dcaf.jpg,train,0.15935,0.00000,yes,no,test,train
IMG_20240309_114215_jpg.rf.59c12185acca7a6ef33e4e07567fbae7.jpg,train,IMG_20240309_114221_jpg.rf.56b664076637540c792c26b82b37b866.jpg,valid,0.11737,0.00000,yes,no,train,valid
IMG_20240309_114215_jpg.rf.59c12185acca7a6ef33e4e07567fbae7.jpg,train,IMG_20240309_114248_jpg.rf.c53ff41f62ec2d5cc8c445f4f7d029d8.jpg,valid,0.11072,0.00000,yes,no,train,valid
IMG_20240309_114221_jpg.rf.56b664076637540c792c26b82b37b866.jpg,valid,IMG_20240309_114244_jpg.rf.282dc8ad08adf4f73a700f62e6df8937.jpg,train,0.06870,0.00000,yes,no,valid,train
IMG_20240309_114244_jpg.rf.282dc8ad08adf4f73a700f62e6df8937.jpg,train,IMG_20240309_114248_jpg.rf.c53ff41f62ec2d5cc8c445f4f7d029d8.jpg,valid,0.14858,0.00000,yes,no,train,valid
IMG_20240220_115315_jpg.rf.ced2f99f93e2e6e828e5172a92319136.jpg,test,IMG_20240220_115316_jpg.rf.e83ed9f04c079d2dfba1c2c5ba5f8411.jpg,train,0.01408,0.00712,no,no,train,train
IMG_5224_JPG.rf.7ff54ec36056166b85dada7f7129a440.jpg,train,IMG_5226_JPG.rf.7a34f49f951e96c6b4abda80f98b1fd4.jpg,test,0.04546,0.02217,no,yes,train,train
IMG_20240303_111150_jpg.rf.ea4cb2a043a679c382b2887f8d270de1.jpg,train,IMG_20240303_111154_jpg.rf.00fbdef8d408d5d58301eb952b29db23.jpg,test,0.14003,0.02666,yes,no,train,test
IMG_20240220_115304_jpg.rf.0057443e054b6dc6c2329548b23552f2.jpg,train,IMG_20240220_115315_jpg.rf.ced2f99f93e2e6e828e5172a92319136.jpg,test,0.09298,0.03838,no,no,train,train
IMG_20240309_120229_jpg.rf.720d21b300cecea8953931322931016f.jpg,train,IMG_20240309_120246_jpg.rf.b17e147230b4d8ed6e8d3338a4b795fe.jpg,valid,0.04683,0.03890,no,no,train,valid
IMG_20240228_132444_jpg.rf.f4a025b55f3409e1b07471b61a891f59.jpg,train,IMG_20240228_132451_jpg.rf.9cd9b224f4d8bac48ca02a90363ec69d.jpg,valid,0.05797,0.04075,no,no,train,valid
IMG_5225_JPG.rf.c54e322448081020d981f84185d01927.jpg,train,IMG_5226_JPG.rf.7a34f49f951e96c6b4abda80f98b1fd4.jpg,test,0.06219,0.04267,no,yes,train,train
IMG20240303110140_jpg.rf.72cad1100959f83dbc151e775cb09823.jpg,valid,IMG_20240303_110205_jpg.rf.9dae7cc7f41c8feb26f2e902d6914be3.jpg,train,0.09592,0.04277,no,no,valid,train
