stem,csv_DATA_TYPE,actual_split,filename_family,DEVICE_NAME
IMG20240220133619,Test,train,ts_compact,X
IMG20240220133631,Valid,train,ts_compact,X
IMG20240220133705,Valid,train,ts_compact,X
IMG20240220133854,Test,train,ts_compact,X
IMG20240220134015,Valid,train,ts_compact,X
IMG20240220134046,Valid,train,ts_compact,X
IMG20240220134311,Test,train,ts_compact,X
IMG20240220134527,Valid,train,ts_compact,X
IMG20240220134537,Test,train,ts_compact,X
IMG20240220134651,Test,train,ts_compact,X
IMG20240220134657,Valid,train,ts_compact,X
IMG20240220134719,Test,train,ts_compact,X
IMG20240220134725,Valid,train,ts_compact,X
IMG20240220134815,Valid,train,ts_compact,X
IMG20240220134852,Valid,train,ts_compact,X
IMG20240220134936,Valid,train,ts_compact,X
IMG20240220135003,Test,train,ts_compact,X
IMG20240220135244,Test,train,ts_compact,X
IMG20240220135251,Valid,train,ts_compact,X
IMG20240220135414,Valid,train,ts_compact,X
IMG20240220135905,Valid,train,ts_compact,X
IMG20240220135910,Valid,train,ts_compact,X
IMG20240220135926,Valid,train,ts_compact,X
IMG20240228123032,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228123642,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228123723,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228124445,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228124453,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228125647,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228125705,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228130635,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228130639,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228130943,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228131317,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228131634,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228131658,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228131739_01,Valid,train,ts_compact_sub,ONEPLUS_NORD
IMG20240228131921_01,Test,train,ts_compact_sub,ONEPLUS_NORD
IMG20240228132001_01,Valid,train,ts_compact_sub,ONEPLUS_NORD
IMG20240228132456,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228132533,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228132605_01,Valid,train,ts_compact_sub,ONEPLUS_NORD
IMG20240228132621,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228132906,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228132935,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228133207,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228133659_01,Test,train,ts_compact_sub,ONEPLUS_NORD
IMG20240228133855,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228134128,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228135156,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228135342,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228135553,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228142129,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228142237,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228142340,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240228142403,Test,train,ts_compact,ONEPLUS_NORD
IMG20240228142427,Valid,train,ts_compact,ONEPLUS_NORD
IMG_20240219_113711,Test,train,ts_underscore,REDMI
IMG_20240219_113730,Test,train,ts_underscore,REDMI
IMG_20240219_113819,Valid,train,ts_underscore,REDMI
IMG_20240219_113931,Valid,train,ts_underscore,REDMI
IMG_20240219_113936,Valid,train,ts_underscore,REDMI
IMG_20240219_114018,Test,train,ts_underscore,REDMI
IMG_20240219_114133,Valid,train,ts_underscore,REDMI
IMG_20240219_114214,Test,train,ts_underscore,REDMI
IMG_20240219_114741,Valid,train,ts_underscore,REDMI
IMG_20240219_114814,Valid,train,ts_underscore,REDMI
IMG_20240219_114822,Valid,train,ts_underscore,REDMI
IMG_20240219_114918,Valid,train,ts_underscore,REDMI
IMG_20240219_115004,Valid,train,ts_underscore,REDMI
IMG_20240219_115010,Valid,train,ts_underscore,REDMI
IMG_20240219_115224,Test,train,ts_underscore,REDMI
IMG_20240219_115342,Test,train,ts_underscore,REDMI
IMG_20240219_115948,Valid,train,ts_underscore,REDMI
IMG_20240219_120209,Valid,train,ts_underscore,REDMI
IMG_20240219_120213,Valid,train,ts_underscore,REDMI
IMG_20240219_120311,Valid,train,ts_underscore,REDMI
IMG_20240220_114159,Test,train,ts_underscore,REDMI
IMG_20240220_114237,Valid,train,ts_underscore,REDMI
IMG_20240220_114725,Valid,train,ts_underscore,REDMI
IMG_20240220_114930,Test,train,ts_underscore,REDMI
IMG_20240220_114936,Test,train,ts_underscore,REDMI
IMG_20240220_115051,Test,train,ts_underscore,REDMI
IMG_20240220_115120,Valid,train,ts_underscore,REDMI
IMG_20240220_115127,Test,train,ts_underscore,REDMI
IMG_20240220_115215,Valid,train,ts_underscore,REDMI
IMG_20240220_115333,Valid,train,ts_underscore,REDMI
IMG_20240220_115414,Valid,train,ts_underscore,REDMI
IMG_20240220_115430,Valid,train,ts_underscore,REDMI
IMG_20240220_115458,Valid,train,ts_underscore,REDMI
IMG_20240220_115502,Test,train,ts_underscore,REDMI
IMG_20240220_115527,Valid,train,ts_underscore,REDMI
IMG_20240220_115539,Test,train,ts_underscore,REDMI
IMG_20240220_115622,Valid,train,ts_underscore,REDMI
IMG_20240220_115849,Test,train,ts_underscore,REDMI
IMG_20240220_120015,Valid,train,ts_underscore,REDMI
IMG_20240220_120029,Valid,train,ts_underscore,REDMI
IMG_20240220_120146,Test,train,ts_underscore,REDMI
IMG_20240220_120154,Valid,train,ts_underscore,REDMI
IMG_20240220_120314,Test,train,ts_underscore,REDMI
IMG_20240220_120351,Valid,train,ts_underscore,REDMI
IMG_20240220_120413,Valid,train,ts_underscore,REDMI
IMG_20240220_120420,Test,train,ts_underscore,REDMI
IMG_20240220_120532,Valid,train,ts_underscore,REDMI
IMG_20240220_120903,Valid,train,ts_underscore,REDMI
IMG_20240220_120913,Valid,train,ts_underscore,REDMI
IMG_20240220_121119,Valid,train,ts_underscore,REDMI
IMG_20240220_121153,Test,train,ts_underscore,REDMI
IMG_20240220_121359,Valid,train,ts_underscore,REDMI
IMG_20240220_121405,Test,train,ts_underscore,REDMI
IMG_20240220_121409,Valid,train,ts_underscore,REDMI
IMG_20240220_121416,Valid,train,ts_underscore,REDMI
IMG_20240220_121422,Valid,train,ts_underscore,REDMI
IMG_20240220_121500,Valid,train,ts_underscore,REDMI
IMG_20240220_121536,Test,train,ts_underscore,REDMI
IMG_20240220_121913,Valid,train,ts_underscore,REDMI
IMG_20240220_121918,Valid,train,ts_underscore,REDMI
IMG_20240220_131431,Valid,train,ts_underscore,REDMI
IMG_20240220_131436,Valid,train,ts_underscore,REDMI
IMG_20240220_131552,Test,train,ts_underscore,REDMI
IMG_20240220_131559,Valid,train,ts_underscore,REDMI
IMG_20240220_131610,Valid,train,ts_underscore,REDMI
IMG_20240220_131638,Valid,train,ts_underscore,REDMI
IMG_20240220_131734,Valid,train,ts_underscore,REDMI
IMG_20240220_131738,Test,train,ts_underscore,REDMI
IMG_20240220_131847,Valid,train,ts_underscore,REDMI
IMG_20240220_131908,Valid,train,ts_underscore,REDMI
IMG_20240220_132056,Test,train,ts_underscore,REDMI
IMG_20240220_132104,Test,train,ts_underscore,REDMI
IMG_20240220_132242,Valid,train,ts_underscore,REDMI
IMG_20240220_132310,Valid,train,ts_underscore,REDMI
IMG_20240220_132322,Test,train,ts_underscore,REDMI
IMG_20240220_132334,Valid,train,ts_underscore,REDMI
IMG_20240220_132414,Valid,train,ts_underscore,REDMI
IMG_20240220_132601,Test,train,ts_underscore,REDMI
IMG_20240220_132607,Valid,train,ts_underscore,REDMI
IMG_20240220_132618,Valid,train,ts_underscore,REDMI
IMG_20240220_132642,Test,train,ts_underscore,REDMI
IMG_20240220_132702,Test,train,ts_underscore,REDMI
IMG_20240220_132728,Valid,train,ts_underscore,REDMI
IMG_20240220_132834,Valid,train,ts_underscore,REDMI
IMG_20240220_132849,Test,train,ts_underscore,REDMI
IMG_20240220_132854,Valid,train,ts_underscore,REDMI
IMG_20240220_132943,Valid,train,ts_underscore,REDMI
IMG_20240220_132952,Valid,train,ts_underscore,REDMI
IMG_20240220_133000,Valid,train,ts_underscore,REDMI
IMG_20240220_133024,Test,train,ts_underscore,REDMI
IMG_20240220_133130,Test,train,ts_underscore,REDMI
IMG_20240220_133258,Valid,train,ts_underscore,REDMI
IMG_20240220_133352,Test,train,ts_underscore,REDMI
IMG_20240220_134012,Valid,train,ts_underscore,REDMI
IMG_20240220_134015,Valid,train,ts_underscore,REDMI
IMG_20240220_134020,Valid,train,ts_underscore,REDMI
IMG_20240220_134055,Valid,train,ts_underscore,REDMI
IMG_20240220_134137,Test,train,ts_underscore,REDMI
IMG_20240220_134141,Valid,train,ts_underscore,REDMI
IMG_20240220_134224,Valid,train,ts_underscore,REDMI
IMG_20240220_134228,Valid,train,ts_underscore,REDMI
IMG_20240220_134416,Valid,train,ts_underscore,REDMI
IMG_20240220_134526,Valid,train,ts_underscore,REDMI
IMG_20240220_134725,Valid,train,ts_underscore,REDMI
IMG_20240220_134801,Valid,train,ts_underscore,REDMI
IMG_20240220_134925,Valid,train,ts_underscore,REDMI
IMG_20240220_135306,Valid,train,ts_underscore,REDMI
IMG_20240220_135309,Valid,train,ts_underscore,REDMI
IMG_20240220_135316,Test,train,ts_underscore,REDMI
IMG_20240220_135322,Test,train,ts_underscore,REDMI
IMG_20240220_135410,Test,train,ts_underscore,REDMI
IMG_20240220_135420,Valid,train,ts_underscore,REDMI
IMG_20240220_135428,Valid,train,ts_underscore,REDMI
IMG_20240220_135627,Test,train,ts_underscore,REDMI
IMG_20240220_135723,Test,train,ts_underscore,REDMI
IMG_20240220_135827,Valid,train,ts_underscore,REDMI
IMG_20240228_123641,Test,train,ts_underscore,REDMI
IMG_20240228_123700,Test,train,ts_underscore,REDMI
IMG_20240228_123716,Test,train,ts_underscore,REDMI
IMG_20240228_124433,Test,train,ts_underscore,REDMI
IMG_20240228_124619,Test,train,ts_underscore,REDMI
IMG_20240228_125641,Test,train,ts_underscore,REDMI
IMG_20240228_125719,Test,train,ts_underscore,REDMI
IMG_20240228_131018,Test,train,ts_underscore,REDMI
IMG_20240228_131416,Test,train,ts_underscore,REDMI
IMG_20240228_131530,Test,train,ts_underscore,REDMI
IMG_20240228_132304,Test,train,ts_underscore,REDMI
IMG_20240228_132345,Test,train,ts_underscore,REDMI
IMG_20240228_132351,Test,train,ts_underscore,REDMI
IMG_20240228_132355,Test,train,ts_underscore,REDMI
IMG_20240228_132436,Test,train,ts_underscore,REDMI
IMG_20240228_132444,Test,train,ts_underscore,REDMI
IMG_20240228_133000,Test,train,ts_underscore,REDMI
IMG_20240228_133010,Test,train,ts_underscore,REDMI
IMG_20240228_133205,Test,train,ts_underscore,REDMI
IMG_20240228_133453,Test,train,ts_underscore,REDMI
IMG_20240228_135615,Test,train,ts_underscore,REDMI
IMG_20240228_135620,Test,train,ts_underscore,REDMI
IMG_20240228_135625,Test,train,ts_underscore,REDMI
IMG_20240228_135857,Test,train,ts_underscore,REDMI
IMG_20240228_140555,Test,train,ts_underscore,REDMI
IMG_20240228_141050,Test,train,ts_underscore,REDMI
IMG_20240228_141139,Test,train,ts_underscore,REDMI
IMG_20240228_141443,Test,train,ts_underscore,REDMI
IMG_5134,Valid,train,counter,iPhone
IMG_5141,Valid,train,counter,iPhone
IMG_5143,Valid,train,counter,iPhone
IMG_5146,Test,train,counter,iPhone
IMG_5147,Valid,train,counter,iPhone
IMG_5149,Valid,train,counter,iPhone
IMG_5152,Valid,train,counter,iPhone
IMG_5161,Valid,train,counter,iPhone
IMG_5163,Valid,train,counter,iPhone
IMG_5165,Valid,train,counter,iPhone
IMG_5167,Valid,train,counter,iPhone
IMG_5170,Valid,train,counter,iPhone
IMG_5178,Valid,train,counter,iPhone
IMG_5181,Valid,train,counter,iPhone
IMG_5183,Valid,train,counter,iPhone
IMG_5188,Valid,train,counter,iPhone
IMG_5190,Valid,train,counter,iPhone
IMG_5192,Valid,train,counter,iPhone
IMG_5193,Test,train,counter,iPhone
IMG_5196,Valid,train,counter,iPhone
IMG_5212,Test,train,counter,iPhone
IMG_5217,Valid,train,counter,iPhone
IMG_5219,Valid,train,counter,iPhone
IMG_5222,Valid,train,counter,iPhone
IMG_5225,Test,train,counter,iPhone
IMG_5227,Test,train,counter,iPhone
IMG_5229,Test,train,counter,iPhone
IMG_5231,Test,train,counter,iPhone
IMG_5233,Test,train,counter,iPhone
IMG_5234,Valid,train,counter,iPhone
IMG_5238,Test,train,counter,iPhone
IMG_5240,Test,train,counter,iPhone
IMG_5241,Valid,train,counter,iPhone
IMG_5245,Valid,train,counter,iPhone
IMG_5246,Valid,train,counter,iPhone
IMG_5249,Valid,train,counter,iPhone
IMG_5250,Test,train,counter,iPhone
IMG_5258,Test,train,counter,iPhone
IMG_5259,Valid,train,counter,iPhone
IMG_5262,Valid,train,counter,iPhone
IMG_5268,Test,train,counter,iPhone
IMG_5279,Test,train,counter,iPhone
IMG_5281,Valid,train,counter,iPhone
IMG_5291,Valid,train,counter,iPhone
IMG_5295,Valid,train,counter,iPhone
IMG_5296,Test,train,counter,iPhone
IMG_5298,Test,train,counter,iPhone
IMG_5299,Test,train,counter,iPhone
IMG_5300,Test,train,counter,iPhone
IMG_5302,Valid,train,counter,iPhone
IMG_5304,Test,train,counter,iPhone
IMG_5308,Valid,train,counter,iPhone
IMG_5309,Valid,train,counter,iPhone
IMG_5314,Test,train,counter,iPhone
IMG_5317,Valid,train,counter,iPhone
IMG_5320,Valid,train,counter,iPhone
IMG20240228122809,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228122949,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228122955,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123001,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123131,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123218,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123246,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123253,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123330,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123402,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123408,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123449,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123455,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123512,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123522,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123605,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123614,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123708,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123750,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228123839,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124228,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124247,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124330,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124357,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124412,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124440,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124711,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124718,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124844,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124919,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228124925,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125017,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125025,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125228,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125312,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125428,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125752,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125831,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228125846,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130031,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130036,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130254,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130308,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130425,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130517,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228130615,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228131243,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228131420,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228131832,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228131859,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228131905,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228132302,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228132440,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228132445,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228132725,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228132838,Train,valid,ts_compact,ONEPLUS_NORD
IMG20240228133137,Train,valid,ts_compact,ONEPLUS_NORD
IMG_20240228_130525,Train,valid,ts_underscore,REDMI
IMG_20240228_130615,Train,valid,ts_underscore,REDMI
IMG_20240228_130630,Train,valid,ts_underscore,REDMI
IMG_20240228_130656,Train,valid,ts_underscore,REDMI
IMG_20240228_130705,Train,valid,ts_underscore,REDMI
IMG_20240228_130813,Train,valid,ts_underscore,REDMI
IMG_20240228_131005,Train,valid,ts_underscore,REDMI
IMG_20240228_131008,Train,valid,ts_underscore,REDMI
IMG_20240228_131014,Train,valid,ts_underscore,REDMI
IMG_20240228_131314,Train,valid,ts_underscore,REDMI
IMG_20240228_131348,Train,valid,ts_underscore,REDMI
IMG_20240228_131358,Train,valid,ts_underscore,REDMI
IMG_20240228_131410,Train,valid,ts_underscore,REDMI
IMG_20240228_131519,Train,valid,ts_underscore,REDMI
IMG_20240228_131524,Train,valid,ts_underscore,REDMI
IMG_20240228_131536,Train,valid,ts_underscore,REDMI
IMG_20240228_131542,Train,valid,ts_underscore,REDMI
IMG_20240228_131557,Train,valid,ts_underscore,REDMI
IMG_20240228_131608,Train,valid,ts_underscore,REDMI
IMG_20240228_131617,Train,valid,ts_underscore,REDMI
IMG_20240228_131627,Train,valid,ts_underscore,REDMI
IMG_20240228_131640,Train,valid,ts_underscore,REDMI
IMG_20240228_131657,Train,valid,ts_underscore,REDMI
IMG_20240228_131829,Train,valid,ts_underscore,REDMI
IMG_20240228_131832,Train,valid,ts_underscore,REDMI
IMG_20240228_131854,Train,valid,ts_underscore,REDMI
IMG_20240228_131857,Train,valid,ts_underscore,REDMI
IMG_20240228_131907,Train,valid,ts_underscore,REDMI
IMG_20240228_132253,Train,valid,ts_underscore,REDMI
IMG_20240228_132316,Train,valid,ts_underscore,REDMI
IMG_20240228_132320,Train,valid,ts_underscore,REDMI
IMG_20240228_132324,Train,valid,ts_underscore,REDMI
IMG_20240228_132332,Train,valid,ts_underscore,REDMI
IMG_20240228_132418,Train,valid,ts_underscore,REDMI
IMG_20240228_132419,Train,valid,ts_underscore,REDMI
IMG_20240228_132424,Train,valid,ts_underscore,REDMI
IMG_20240228_132451,Train,valid,ts_underscore,REDMI
IMG_20240228_132500,Train,valid,ts_underscore,REDMI
IMG_20240228_132504,Train,valid,ts_underscore,REDMI
IMG_20240228_132510,Train,valid,ts_underscore,REDMI
IMG_20240228_132515,Train,valid,ts_underscore,REDMI
IMG_20240228_132527,Train,valid,ts_underscore,REDMI
IMG_20240228_132535,Train,valid,ts_underscore,REDMI
IMG_20240228_132539,Train,valid,ts_underscore,REDMI
IMG_20240228_132543,Train,valid,ts_underscore,REDMI
IMG_20240228_132547,Train,valid,ts_underscore,REDMI
IMG_20240228_132601,Train,valid,ts_underscore,REDMI
IMG_20240228_132605,Train,valid,ts_underscore,REDMI
IMG_20240228_132917,Train,valid,ts_underscore,REDMI
IMG_20240228_132923,Train,valid,ts_underscore,REDMI
IMG_20240228_132927,Train,valid,ts_underscore,REDMI
IMG_20240228_132934,Train,valid,ts_underscore,REDMI
IMG_20240228_132943,Train,valid,ts_underscore,REDMI
IMG_20240228_132953,Train,valid,ts_underscore,REDMI
IMG_20240228_133006,Train,valid,ts_underscore,REDMI
IMG_20240228_133018,Train,valid,ts_underscore,REDMI
IMG_20240228_133024,Train,valid,ts_underscore,REDMI
IMG_20240228_133047,Train,valid,ts_underscore,REDMI
IMG_20240228_133109,Train,valid,ts_underscore,REDMI
IMG_20240228_133113,Train,valid,ts_underscore,REDMI
IMG_20240228_133123,Train,valid,ts_underscore,REDMI
IMG_20240228_133145,Train,valid,ts_underscore,REDMI
IMG_20240228_133157,Train,valid,ts_underscore,REDMI
IMG_20240228_133510,Train,valid,ts_underscore,REDMI
IMG_20240228_133527,Train,valid,ts_underscore,REDMI
IMG_20240228_133530,Train,valid,ts_underscore,REDMI
IMG_20240228_133539,Train,valid,ts_underscore,REDMI
IMG_20240228_133557,Train,valid,ts_underscore,REDMI
IMG_20240228_133600,Train,valid,ts_underscore,REDMI
IMG_20240228_133607,Train,valid,ts_underscore,REDMI
IMG_20240228_133631,Train,valid,ts_underscore,REDMI
IMG_20240228_133640,Train,valid,ts_underscore,REDMI
IMG_20240228_135521,Train,valid,ts_underscore,REDMI
IMG_20240228_135641,Train,valid,ts_underscore,REDMI
IMG_20240228_135656,Train,valid,ts_underscore,REDMI
IMG_20240228_135706,Train,valid,ts_underscore,REDMI
IMG_20240228_135713,Train,valid,ts_underscore,REDMI
IMG_20240228_135720,Train,valid,ts_underscore,REDMI
IMG_20240228_135734,Train,valid,ts_underscore,REDMI
IMG_20240228_135854,Train,valid,ts_underscore,REDMI
IMG_20240228_135906,Train,valid,ts_underscore,REDMI
IMG_20240228_135909,Train,valid,ts_underscore,REDMI
IMG_20240228_135924,Train,valid,ts_underscore,REDMI
IMG_20240228_140058,Train,valid,ts_underscore,REDMI
IMG_20240228_140101,Train,valid,ts_underscore,REDMI
IMG_20240228_140129,Train,valid,ts_underscore,REDMI
IMG_20240228_140134,Train,valid,ts_underscore,REDMI
IMG_20240228_140137,Train,valid,ts_underscore,REDMI
IMG_20240228_140145,Train,valid,ts_underscore,REDMI
IMG_20240228_140150,Train,valid,ts_underscore,REDMI
IMG_20240228_140218,Train,valid,ts_underscore,REDMI
IMG_20240228_140224,Train,valid,ts_underscore,REDMI
IMG_20240228_140229,Train,valid,ts_underscore,REDMI
IMG_20240228_140238,Train,valid,ts_underscore,REDMI
IMG_20240228_140249,Train,valid,ts_underscore,REDMI
IMG_20240228_140319,Train,valid,ts_underscore,REDMI
IMG_20240228_140418,Train,valid,ts_underscore,REDMI
IMG_20240228_140434,Train,valid,ts_underscore,REDMI
IMG_20240228_140455,Train,valid,ts_underscore,REDMI
IMG_20240228_140503,Train,valid,ts_underscore,REDMI
IMG_20240228_140533,Train,valid,ts_underscore,REDMI
IMG_20240228_140537,Train,valid,ts_underscore,REDMI
IMG_20240228_140544,Train,valid,ts_underscore,REDMI
IMG_20240228_140547,Train,valid,ts_underscore,REDMI
IMG_20240228_140558,Train,valid,ts_underscore,REDMI
IMG_20240228_140602,Train,valid,ts_underscore,REDMI
IMG_20240228_140644,Train,valid,ts_underscore,REDMI
IMG_20240228_140650,Train,valid,ts_underscore,REDMI
IMG_20240228_140654,Train,valid,ts_underscore,REDMI
IMG_20240228_140706,Train,valid,ts_underscore,REDMI
IMG_20240228_140713,Train,valid,ts_underscore,REDMI
IMG_20240228_140717,Train,valid,ts_underscore,REDMI
IMG_20240228_140725,Train,valid,ts_underscore,REDMI
IMG_20240228_140741,Train,valid,ts_underscore,REDMI
IMG_20240228_140756,Train,valid,ts_underscore,REDMI
IMG_20240228_140815,Train,valid,ts_underscore,REDMI
IMG_20240228_140818,Train,valid,ts_underscore,REDMI
IMG_20240228_140829,Train,valid,ts_underscore,REDMI
IMG_20240228_140944,Train,valid,ts_underscore,REDMI
IMG_20240228_141019,Train,valid,ts_underscore,REDMI
IMG_20240228_141024,Train,valid,ts_underscore,REDMI
IMG_20240228_141045,Train,valid,ts_underscore,REDMI
IMG_20240228_141047,Train,valid,ts_underscore,REDMI
IMG_20240228_141123,Train,valid,ts_underscore,REDMI
IMG_20240228_141129,Train,valid,ts_underscore,REDMI
IMG_20240228_141143,Train,valid,ts_underscore,REDMI
IMG_20240228_141214,Train,valid,ts_underscore,REDMI
IMG_20240228_141330,Train,valid,ts_underscore,REDMI
IMG_20240228_141431,Train,valid,ts_underscore,REDMI
IMG_20240228_141501,Train,valid,ts_underscore,REDMI
IMG_20240228_141511,Train,valid,ts_underscore,REDMI
IMG_20240228_141518,Train,valid,ts_underscore,REDMI
IMG20240228125654,Train,test,ts_compact,ONEPLUS_NORD
IMG20240228125738,Train,test,ts_compact,ONEPLUS_NORD
IMG20240228125746,Train,test,ts_compact,ONEPLUS_NORD
IMG20240228125809,Train,test,ts_compact,ONEPLUS_NORD
