class_id,class_name,regime,setting,n_groups_with_class,n_groups_with_ge_5,min_images_in_qualifying_group,max_images_in_qualifying_group,total_instances,verdict
44,OLED-Display,scene-component,eps=0.02,183,0,0,0,279,insufficient
44,OLED-Display,scene-component,eps=0.05,146,3,3,5,279,has_alternatives
46,Push-Switch,timestamp,tau=3s,169,0,0,0,277,insufficient
46,Push-Switch,timestamp,tau=5s,138,5,2,4,277,has_alternatives
46,Push-Switch,timestamp,tau=10s,85,20,3,10,277,has_alternatives
46,Push-Switch,timestamp,tau=30s,23,18,3,33,277,has_alternatives
46,Push-Switch,timestamp,tau=60s,9,9,6,50,277,has_alternatives
47,RFID-Scanner,timestamp,tau=3s,146,0,0,0,153,insufficient
47,RFID-Scanner,timestamp,tau=5s,126,0,0,0,153,insufficient
47,RFID-Scanner,timestamp,tau=10s,80,1,6,6,153,insufficient
47,RFID-Scanner,timestamp,tau=30s,39,14,5,20,153,has_alternatives
47,RFID-Scanner,timestamp,tau=60s,13,9,6,64,153,has_alternatives
54,Sonar-Sensor,timestamp,tau=3s,70,0,0,0,117,insufficient
54,Sonar-Sensor,timestamp,tau=5s,55,5,2,3,117,has_alternatives
54,Sonar-Sensor,timestamp,tau=10s,41,7,2,4,117,has_alternatives
54,Sonar-Sensor,timestamp,tau=30s,26,10,2,9,117,has_alternatives
54,Sonar-Sensor,timestamp,tau=60s,13,8,3,19,117,has_alternatives
54,Sonar-Sensor,scene-component,eps=0.01,117,0,0,0,118,insufficient
54,Sonar-Sensor,scene-component,eps=0.02,113,0,0,0,118,insufficient
54,Sonar-Sensor,scene-component,eps=0.05,91,0,0,0,118,insufficient
